,X,userLanguage,District,School.Attleboro,School.Boston,School.Lowell,School.Revere,School.Somerville,School.Winchester,StudentID,Grade,s.emsa.q1,s.emsa.q2,s.emsa.q3,s.tint.q1,s.tint.q2,s.tint.q3,s.tint.q4,s.tint.q5,s.acpr.q1,s.acpr.q2,s.acpr.q3,s.acpr.q4,s.cure.q1,s.cure.q2,s.cure.q3,s.cure.q4,s.sten.q1,s.sten.q2,s.sten.q3,s.sper.q1,s.sper.q2,s.sper.q3,s.sper.q4,s.civp.q1,s.civp.q2,s.civp.q3,s.civp.q4,s.grmi.q1,s.grmi.q2,s.grmi.q3,s.grmi.q4,s.appa.q1,s.appa.q2,s.appa.q3,s.peff.q1,s.peff.q2,s.peff.q3,s.peff.q4,s.peff.q5,s.peff.q6,s.sbel.q1,s.sbel.q2,s.sbel.q3,s.sbel.q4,s.sbel.q5,s.phys.q1,s.phys.q2,s.phys.q3,s.phys.q4,s.vale.q1,s.vale.q2,s.vale.q3,s.vale.q4,s.acst.q1,s.acst.q2,s.acst.q3,s.sust.q1,s.sust.q2,s.grit.q1,s.grit.q2,s.grit.q3,s.grit.q4,s.expa.q1,s.poaf.q1,s.poaf.q2,s.poaf.q3,s.poaf.q4,s.tint.q1,s.tint.q2,s.tint.q3,s.tint.q4,s.tint.q5,s.acpr.q1,s.acpr.q2,s.acpr.q3,s.acpr.q4,s.peff.q1,s.peff.q2,s.peff.q3,s.peff.q4,s.peff.q5,s.peff.q6,Q90,Q90_3_TEXT,Q91_1,Q91_2,Q91_3,Q91_4,Q91_5,Q91_6,Q91_7,Q91_7_TEXT,Q_Language
7812,7814,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46284628,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,1,2,2,NA,NA,NA,NA,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,4,2,3,3,2,3,3,2,3,1,2,3,3,3,2,2,3,2,2,1,1,4,2,3,3,2,1,4,2,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7813,7815,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46614661,4,4,5,4,5,4,4,4,3,4,4,4,4,1,2,2,4,4,5,4,4,2,3,NA,2,5,4,3,4,5,5,5,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,4,5,4,4,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7815,7817,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46384638,4,3,5,5,5,3,4,5,4,5,4,4,5,4,4,3,5,3,4,5,3,4,2,3,3,3,3,4,3,3,3,4,5,5,5,4,5,4,3,4,5,4,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7817,7819,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,49294929,4,3,4,3,4,2,3,4,5,5,5,5,5,3,3,3,3,4,4,4,4,3,2,4,3,5,3,4,5,4,4,4,2,4,5,5,4,4,5,4,5,4,4,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,French,EN
7818,7820,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46454645,4,4,5,4,4,3,4,5,3,5,5,2,3,2,2,2,4,5,4,2,3,3,2,3,3,4,2,2,5,5,5,5,4,5,4,5,4,4,4,2,5,5,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7819,7821,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46684668,4,3,4,5,5,5,3,5,4,5,5,5,5,4,3,4,4,3,3,5,2,5,3,4,3,4,3,4,5,5,4,2,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,4,4,2,4,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7824,7826,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46254625,4,3,3,2,5,5,5,5,5,5,4,2,5,1,4,3,1,1,1,1,5,5,5,5,5,5,5,5,4,1,1,2,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,2,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,EN
7825,7827,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46474647,4,3,5,3,5,3,4,5,4,4,4,5,2,2,3,3,3,4,4,4,3,4,2,3,2,2,3,2,4,4,2,5,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,4,5,3,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7827,7829,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46394639,4,4,4,4,5,3,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,NA,NA,NA,5,4,4,4,5,5,5,5,5,4,5,4,4,4,5,5,4,5,4,4,3,2,5,5,5,5,4,5,3,4,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7830,7832,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46164616,4,4,5,5,4,2,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,4,NA,NA,NA,5,4,5,3,3,4,4,4,4,4,4,4,4,4,5,3,4,3,4,3,4,2,2,2,4,4,5,4,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7836,7838,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46274627,4,2,2,4,5,4,5,5,5,5,5,5,5,3,4,5,4,4,3,4,4,5,5,4,5,5,5,5,5,3,4,5,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,5,3,5,2,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,1,Amarican and Greek,EN
7840,7842,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46114611,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,2,3,2,NA,NA,NA,NA,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,4,3,NA,2,2,4,3,2,3,2,2,4,3,4,3,3,4,NA,NA,3,4,3,2,3,3,3,4,3,3,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,"german,irish,british,two others",EN
7844,7846,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46234623,4,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,4,4,5,2,2,4,4,4,4,4,4,5,5,5,4,4,3,2,4,4,2,1,3,5,3,5,4,4,2,4,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,Irish/American,EN
7849,7851,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46694669,4,4,4,5,4,4,4,5,4,4,4,4,4,4,3,2,5,3,3,4,4,5,4,4,2,4,NA,3,5,4,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,2,2,3,3,4,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7850,7852,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,2606040,4,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,1,NA,NA,NA,5,5,5,5,5,5,1,5,5,5,4,5,5,5,5,2,5,5,5,1,5,1,5,4,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7855,7857,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,83558355,4,4,3,4,4,3,5,5,5,4,5,5,5,3,3,5,5,3,2,2,2,2,3,2,3,4,4,3,4,4,3,3,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,4,3,3,4,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7859,7861,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,48654865,4,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,2,2,5,5,5,5,5,5,1,5,3,5,5,4,5,5,5,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,Russian(euranen),EN
7873,7875,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,49354935,4,2,4,2,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,1,NA,NA,NA,4,NA,5,5,NA,5,5,5,4,3,4,4,2,5,NA,5,5,5,2,2,1,4,5,5,2,5,2,5,5,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,EN
7874,7876,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46624662,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,3,1,2,2,NA,NA,NA,NA,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,4,5,3,3,1,3,2,5,NA,3,4,4,3,4,3,3,1,4,2,2,3,4,2,4,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,EN
7879,7881,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,47624762,4,3,3,4,4,3,4,4,4,5,5,4,4,4,4,5,5,2,2,3,4,4,4,4,3,4,3,3,5,5,5,5,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,5,4,4,2,5,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,EN
7881,7883,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46404640,4,4,5,4,4,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,4,NA,NA,NA,5,4,5,4,4,4,4,5,4,4,3,4,5,4,5,3,3,2,2,5,2,2,4,4,4,4,3,4,1,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,EN
7882,7884,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46324632,4,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,4,5,5,5,5,3,5,4,5,2,2,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,EN
7888,7890,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,47714771,4,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,4,3,4,4,3,4,5,5,5,4,3,5,3,5,5,3,4,3,4,5,5,2,3,3,5,3,4,5,3,3,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7889,7891,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46184618,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,4,2,3,2,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,4,5,4,3,2,3,3,5,4,4,2,5,5,5,5,4,1,2,4,4,3,4,1,4,4,5,4,4,3,4,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7890,7892,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,10771077,4,3,5,5,2,3,4,4,4,4,4,5,4,4,3,4,5,2,2,1,3,3,4,3,2,3,2,3,3,5,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,4,2,4,3,3,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7896,7898,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,49454945,4,4,5,4,3,3,4,4,4,5,5,4,4,5,3,4,5,4,4,3,1,3,3,4,3,4,3,4,5,5,5,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,4,4,3,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7903,7905,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46354635,4,3,5,4,5,2,5,4,5,5,5,4,5,4,5,3,4,3,4,4,4,4,3,4,5,4,5,4,2,3,3,4,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,2,5,5,4,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7906,7908,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46794679,4,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,EN
7909,7911,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46494649,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,3,3,2,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,1,4,5,5,3,3,2,5,3,5,5,3,1,1,2,4,4,4,3,4,5,2,4,4,1,3,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7910,7912,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46294629,4,2,5,3,3,1,2,4,4,4,3,5,4,3,4,NA,4,3,4,4,5,5,5,5,3,4,5,4,5,5,5,5,4,5,5,4,2,3,3,2,3,3,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,France ,EN
7911,7913,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46344634,4,4,5,5,5,3,4,5,5,5,5,4,5,4,5,5,5,4,4,5,4,5,4,3,5,3,4,5,5,5,5,5,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,4,4,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7913,7915,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46104610,4,5,5,5,4,3,4,5,5,5,5,4,5,5,4,3,4,5,5,4,2,3,3,4,4,3,5,4,4,4,4,5,4,4,5,5,4,5,4,5,5,5,5,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7914,7916,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,47554755,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,4,4,2,NA,NA,NA,NA,NA,3,4,4,NA,NA,NA,NA,NA,NA,NA,3,4,5,4,4,5,5,4,4,4,5,5,4,4,4,4,5,4,4,NA,3,5,4,3,3,5,5,4,3,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7915,7917,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46174617,4,5,5,5,5,1,4,5,4,NA,4,4,5,2,4,3,4,4,3,4,3,3,3,4,4,5,4,4,5,5,5,5,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,5,4,4,5,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,Romanian,EN
