School Code,School Name,Academic Year,PK-4 Pilot ,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,For Response  Rate,Notes
7750001,Wachusett - Early Childhood Center,2022-23,,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,
7750060,Wachusett - Glenwood Elementary School,2022-23,,0,0,0,0,107,111,115,0,0,0,0,0,0,0,0,333,226,
7750027,Wachusett - Houghton Elementary,2022-23,,0,61,61,59,77,70,0,0,0,0,0,0,0,0,0,328,70,
7750032,Wachusett - Leroy E.Mayo,2022-23,,0,78,76,97,73,84,83,0,0,0,0,0,0,0,0,491,167,
7750305,Wachusett - Mountview Middle,2022-23,,0,0,0,0,0,0,0,275,251,246,0,0,0,0,0,772,772,
7750005,Wachusett - Naquag Elementary School,2022-23,,0,99,141,123,0,0,0,0,0,0,0,0,0,0,0,363,0,
7750040,Wachusett - Paxton Center,2022-23,,0,53,46,46,50,45,41,57,46,70,0,0,0,0,0,454,259,
7750045,Wachusett - Thomas Prince,2022-23,,0,24,37,43,42,36,37,41,40,42,0,0,0,0,0,342,196,
7750505,Wachusett - Wachusett Regional High,2022-23,,0,0,0,0,0,0,0,0,0,0,447,490,493,482,18,1930,1912,
3050005,Wakefield - Dolbeare,2022-23,,0,78,86,92,91,86,0,0,0,0,0,0,0,0,0,433,86,
3050001,Wakefield - Early Childhood Center at the Doyle School,2022-23,,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,
3050310,Wakefield - Galvin Middle School,2022-23,,0,0,0,0,0,0,269,268,259,269,0,0,0,0,0,1065,1065,
3050020,Wakefield - Greenwood,2022-23,,0,43,41,45,46,44,0,0,0,0,0,0,0,0,0,219,44,
3050505,Wakefield - Wakefield Memorial High,2022-23,,0,0,0,0,0,0,0,0,0,0,221,209,190,202,5,827,822,
3050040,Wakefield - Walton,2022-23,,0,39,45,44,42,43,0,0,0,0,0,0,0,0,0,213,43,
3050015,Wakefield - Woodville School,2022-23,,16,74,80,101,80,76,0,0,0,0,0,0,0,0,0,427,76,
3060005,Wales - Wales Elementary,2022-23,,4,17,10,14,14,10,13,14,0,0,0,0,0,0,0,96,37,
3070305,Walpole - Bird Middle,2022-23,,0,0,0,0,0,0,0,136,123,118,0,0,0,0,0,377,377,
3070010,Walpole - Boyden,2022-23,,0,81,70,59,65,66,67,0,0,0,0,0,0,0,0,408,133,
3070002,Walpole - Daniel Feeney Preschool Center,2022-23,,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,
3070310,Walpole - Eleanor N Johnson Middle,2022-23,,0,0,0,0,0,0,0,138,147,132,0,0,0,0,0,417,417,
3070005,Walpole - Elm Street School,2022-23,,0,70,80,89,66,68,66,0,0,0,0,0,0,0,0,439,134,
3070015,Walpole - Fisher,2022-23,,0,86,58,98,79,78,77,0,0,0,0,0,0,0,0,476,155,
3070018,Walpole - Old Post Road,2022-23,,0,54,82,82,91,77,71,0,0,0,0,0,0,0,0,457,148,
3070505,Walpole - Walpole High,2022-23,,0,0,0,0,0,0,0,0,0,0,232,246,257,248,4,987,983,
3080032,Waltham - Douglas MacArthur Elementary School,2022-23,,0,86,85,96,57,80,73,0,0,0,0,0,0,0,0,477,153,
3080065,Waltham - Henry Whittemore Elementary School,2022-23,,0,55,70,55,72,68,65,0,0,0,0,0,0,0,0,385,133,
3080060,Waltham - James Fitzgerald Elementary School,2022-23,,0,57,70,58,53,67,73,0,0,0,0,0,0,0,0,378,140,
3080404,Waltham - John F Kennedy Middle,2022-23,,0,0,0,0,0,0,0,225,197,178,0,0,0,0,0,600,600,
3080415,Waltham - John W. McDevitt Middle School,2022-23,,0,0,0,0,0,0,0,201,196,198,0,0,0,0,0,595,595,
3080040,Waltham - Northeast Elementary School,2022-23,,62,74,73,77,79,62,80,0,0,0,0,0,0,0,0,507,142,
3080050,Waltham - Thomas R Plympton Elementary School,2022-23,,0,60,56,52,67,61,57,0,0,0,0,0,0,0,0,353,118,
3080001,Waltham - Waltham Public Schools Dual Language Program,2022-23,,0,41,40,39,34,30,30,0,0,0,0,0,0,0,0,214,60,
3080505,Waltham - Waltham Sr High,2022-23,,0,0,0,0,0,0,0,0,0,0,456,459,435,397,4,1751,1747,
