Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,PK-2 (#),3-5 (#),6-8 (#),9-12 (#),Multiple Grades (#),All Grades (#),FTE Count
NA,NA,NA,2022-23,Boston - Hale Elementary School,00350243,       6.6,           4.7,           1.9,            .0,            .0,            .0,          13.2
NA,NA,NA,2022-23,Boston - Haley Pilot School,00350077,      16.8,          15.0,          11.5,            .0,            .0,            .0,          43.2
NA,NA,NA,2022-23,Boston - Harvard-Kent Elementary School,00350200,      20.3,          14.1,           4.8,            .0,            .0,            .0,          39.1
NA,NA,NA,2022-23,Boston - Haynes Early Education Center,00350010,      16.5,            .0,            .0,            .0,            .0,            .0,          16.5
NA,NA,NA,2022-23,Boston - Henderson K-12 Inclusion School Lower,00350266,      23.0,            .0,            .0,            .0,            .0,            .0,          23.0
NA,NA,NA,2022-23,Boston - Henderson K-12 Inclusion School Upper,00350426,       7.9,          19.6,          27.5,          28.2,            .0,            .5,          83.7
NA,NA,NA,2022-23,Boston - Hennigan K-8 School,00350153,      11.2,          20.1,          19.6,            .0,            .0,            .0,          50.9
NA,NA,NA,2022-23,Boston - Hernandez K-8 School,00350691,      12.7,           8.9,           6.3,            .0,            .0,            .0,          27.9
NA,NA,NA,2022-23,Boston - Higginson Inclusion K0-2 School,00350015,      13.6,            .0,            .0,            .0,            .0,            .0,          13.6
NA,NA,NA,2022-23,Boston - Higginson-Lewis K-8 School,00350377,       0.0,          11.0,          12.4,            .0,            .0,            .1,          23.5
NA,NA,NA,2022-23,Boston - Holmes Elementary School,00350138,      14.9,          15.9,           3.3,            .0,            .0,            .0,          34.0
NA,NA,NA,2022-23,Boston - Horace Mann School for the Deaf Hard of Hearing,00350750,       8.6,           5.1,          10.0,           6.6,            .0,           3.9,          34.1
NA,NA,NA,2022-23,Boston - Hurley K-8 School,00350182,      11.5,           9.1,           5.1,            .0,            .0,            .0,          25.7
NA,NA,NA,2022-23,Boston - Kennedy John F Elementary School,00350166,      12.6,          11.5,           4.1,            .0,            .0,            .0,          28.2
NA,NA,NA,2022-23,Boston - Kennedy Patrick J Elementary School,00350264,      11.9,          10.5,           3.6,            .0,            .0,            .0,          25.9
NA,NA,NA,2022-23,Boston - Kenny Elementary School,00350328,      11.6,          13.2,           6.2,            .0,            .0,            .0,          31.0
NA,NA,NA,2022-23,Boston - Kilmer K-8 School,00350190,      17.5,          12.9,          12.7,            .0,            .0,            .5,          43.6
NA,NA,NA,2022-23,Boston - King Elementary School,00350376,      26.4,          18.5,           3.3,            .0,            .0,           1.2,          49.4
NA,NA,NA,2022-23,Boston - Lee Academy,00350001,      14.0,           3.0,            .0,            .0,            .0,            .0,          16.9
NA,NA,NA,2022-23,Boston - Lee K-8 School,00350183,      26.1,          16.1,          15.3,            .0,            .0,            .2,          57.6
NA,NA,NA,2022-23,Boston - Lyndon K-8 School,00350262,      17.0,          16.7,           8.8,            .0,            .0,            .1,          42.6
NA,NA,NA,2022-23,Boston - Lyon High School,00350655,       0.0,            .0,            .0,          15.9,            .0,            .6,          16.4
NA,NA,NA,2022-23,Boston - Lyon K-8 School,00350004,       5.7,           4.8,          10.7,            .0,            .0,            .0,          21.2
NA,NA,NA,2022-23,Boston - Madison Park Technical Vocational High School,00350537,       0.0,            .0,            .0,         113.4,            .0,           4.5,         117.9
NA,NA,NA,2022-23,Boston - Manning Elementary School,00350184,       6.5,           7.3,           2.5,            .0,            .0,            .0,          16.2
NA,NA,NA,2022-23,Boston - Margarita Muniz Academy,00350549,       0.0,            .0,            .0,          24.5,            .0,           1.8,          26.2
NA,NA,NA,2022-23,Boston - Mario Umana Academy,00350656,      17.5,          20.9,          19.2,            .0,            .0,            .1,          57.7
NA,NA,NA,2022-23,Boston - Mason Elementary School,00350304,      12.5,          11.0,            .0,            .0,            .0,            .0,          23.5
NA,NA,NA,2022-23,Boston - Mather Elementary School,00350227,      24.0,          18.2,            .0,            .0,            .0,            .0,          42.2
NA,NA,NA,2022-23,Boston - Mattahunt Elementary School,00350016,      32.8,          18.2,           3.1,            .0,           1.0,            .0,          55.0
NA,NA,NA,2022-23,Boston - McKay K-8 School,00350080,      19.2,          21.1,          22.2,            .0,            .0,            .0,          62.5
NA,NA,NA,2022-23,Boston - McKinley Schools,00350363,       1.0,           8.5,          14.9,          26.3,            .0,           1.7,          52.3
NA,NA,NA,2022-23,Boston - Mendell Elementary School,00350100,      12.3,          10.4,           3.5,            .0,            .0,            .0,          26.2
NA,NA,NA,2022-23,Boston - Mildred Avenue K-8 School,00350378,      12.3,          17.5,          25.4,            .0,            .0,            .3,          55.5
NA,NA,NA,2022-23,Boston - Mozart Elementary School,00350237,       9.6,           6.5,           1.8,            .0,            .0,            .0,          17.8
NA,NA,NA,2022-23,Boston - Murphy K-8 School,00350240,      17.0,          23.5,          28.5,            .0,           1.2,            .1,          70.2
NA,NA,NA,2022-23,Boston - New Mission High School,00350542,       0.0,            .0,          11.8,          44.4,            .0,            .0,          56.2
NA,NA,NA,2022-23,Boston - O'Bryant School of Math & Science,00350575,       0.0,            .0,          22.1,          80.5,            .0,            .0,         102.6
NA,NA,NA,2022-23,Boston - O'Donnell Elementary School,00350141,      12.2,           9.1,           3.3,            .0,            .0,            .1,          24.6
NA,NA,NA,2022-23,Boston - Ohrenberger School,00350258,       0.0,          23.7,          24.1,            .0,            .0,            .0,          47.7
NA,NA,NA,2022-23,Boston - Orchard Gardens K-8 School,00350257,      23.8,          19.1,          27.0,            .0,            .0,           1.0,          70.9
NA,NA,NA,2022-23,Boston - Otis Elementary School,00350156,      16.2,          12.6,           3.2,            .0,            .0,           1.4,          33.3
NA,NA,NA,2022-23,Boston - Perkins Elementary School,00350231,      11.2,           7.2,           2.7,            .0,            .0,            .0,          21.2
NA,NA,NA,2022-23,Boston - Perry Elementary School,00350255,       9.6,           8.4,           2.0,            .0,            .0,            .0,          20.0
NA,NA,NA,2022-23,Boston - Philbrick Elementary School,00350172,       6.8,           5.0,           2.6,            .0,            .0,            .0,          14.4
NA,NA,NA,2022-23,Boston - Quincy Elementary School,00350286,      38.1,          29.0,            .0,            .0,            .0,            .0,          67.1
NA,NA,NA,2022-23,Boston - Quincy Upper School,00350565,       0.0,            .0,          24.8,          22.2,            .0,            .0,          47.1
NA,NA,NA,2022-23,Boston - Roosevelt K-8 School,00350116,      14.3,          10.8,          12.5,            .0,            .0,            .0,          37.6
NA,NA,NA,2022-23,Boston - Russell Elementary School,00350366,      18.6,          13.5,            .0,            .0,            .0,            .0,          32.0
NA,NA,NA,2022-23,Boston - Shaw Elementary School,00350014,      13.9,           5.1,            .0,            .0,            .0,            .0,          19.0
NA,NA,NA,2022-23,Boston - Snowden International High School,00350690,       0.0,            .0,            .0,          36.4,            .0,            .0,          36.4
NA,NA,NA,2022-23,Boston - Sumner Elementary School,00350052,      24.2,          21.1,           5.2,            .0,            .0,            .1,          50.6
NA,NA,NA,2022-23,Boston - Taylor Elementary School,00350054,      16.3,          18.0,           5.3,            .0,            .0,            .0,          39.6
NA,NA,NA,2022-23,Boston - TechBoston Academy,00350657,       0.0,            .0,          28.1,          47.3,            .0,            .2,          75.5
NA,NA,NA,2022-23,Boston - Tobin K-8 School,00350229,      14.3,          10.8,          10.4,            .0,            .0,            .1,          35.5
NA,NA,NA,2022-23,Boston - Trotter Elementary School,00350370,      17.1,          12.1,           3.1,            .0,            .0,            .0,          32.3
NA,NA,NA,2022-23,Boston - Tynan Elementary School,00350181,      14.2,           9.1,           2.0,            .0,            .0,            .7,          25.9
NA,NA,NA,2022-23,Boston - UP Academy Holland,00350167,      23.7,          22.4,            .0,            .0,            .0,            .0,          46.2
NA,NA,NA,2022-23,Boston - Warren-Prescott K-8 School,00350346,      19.3,          15.1,          11.1,            .0,            .0,            .0,          45.6
NA,NA,NA,2022-23,Boston - West Zone Early Learning Center,00350006,      13.5,            .0,            .0,            .0,            .0,            .0,          13.5
NA,NA,NA,2022-23,Boston - Winship Elementary School,00350374,      13.3,          11.8,           1.3,            .0,            .0,            .0,          26.4
NA,NA,NA,2022-23,Boston - Winthrop Elementary School,00350180,      15.0,           9.0,           1.3,            .0,            .0,            .0,          25.2
NA,NA,NA,2022-23,Boston - Young Achievers K-8 School,00350380,      15.5,          11.9,          17.9,            .0,            .0,            .0,          45.4
