Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Chronically Absent (20% or more),Unexcused > 9 days
-3.5200000000000005,1,a-vale-i1,2021-22,Auburn-Bryn Mawr,00170010,  92.2,  13.8,  63.5,  28.8,   2.6,  44.6
-1.3200000000000003,1,a-vale-i1,2021-22,Auburn-Pakachoag School,00170025,  92.6,  12.9,  62.0,  23.3,   1.9,  15.4
-5.119999999999999,1,a-vale-i1,2021-22,Auburn-Auburn Senior High,00170505,  90.9,  15.9,  61.6,  32.8,   9.5,  17.1
-0.07999999999999971,1,a-vale-i1,2021-22,Auburn-Auburn Middle,00170305,  93.2,  11.9,  54.9,  20.2,   2.4,  19.0
0.8,1,a-vale-i1,2021-22,Auburn-Swanson Road Intermediate School,00170030,  93.3,  11.9,  58.2,  18.0,   1.4,  17.5
-3.2,1,a-vale-i1,2021-22,Avon-Avon Middle High School,00180510,  91.6,  14.4,  52.6,  28.0,   8.0,  33.5
-0.04000000000000057,1,a-vale-i1,2021-22,Avon-Ralph D Butler,00180010,  93.6,  10.8,  47.1,  20.1,   2.2,  22.6
0.5599999999999994,1,a-vale-i1,2021-22,Ayer Shirley School District-Lura A. White Elementary School,06160001,  93.1,  12.2,  57.3,  18.6,   1.8,  17.4
-4.6,1,a-vale-i1,2021-22,Ayer Shirley School District-Ayer Shirley Regional High School,06160505,  90.8,  15.8,  58.8,  31.5,  10.5,  48.8
-0.8400000000000005,1,a-vale-i1,2021-22,Ayer Shirley School District-Ayer Shirley Regional Middle School,06160305,  92.9,  12.6,  51.5,  22.1,   3.6,  33.2
0.4799999999999997,1,a-vale-i1,2021-22,Ayer Shirley School District-Page Hilltop Elementary School,06160002,  93.3,  11.5,  50.5,  18.8,   2.5,  50.0
-11.319999999999999,1,a-vale-i1,2021-22,Barnstable-Barnstable High,00200505,  86.8,  22.2,  72.6,  48.3,  20.9,  61.1
-5.919999999999999,1,a-vale-i1,2021-22,Barnstable-Centerville Elementary,00200010,  91.6,  14.5,  66.8,  34.8,   4.7,  49.2
-18.72,1,a-vale-i1,2021-22,Barnstable-Enoch Cobb Early Learning Center,00200001,  84.8,  20.1,  80.2,  66.8,  28.9,  80.2
-4.0,1,a-vale-i1,2021-22,Barnstable-West Barnstable Elementary,00200005,  91.7,  14.2,  64.6,  30.0,   6.2,  26.1
-7.080000000000001,1,a-vale-i1,2021-22,Barnstable-Barnstable Intermediate School,00200315,  90.7,  15.7,  67.0,  37.7,   7.8,  52.5
-5.040000000000001,1,a-vale-i1,2021-22,Barnstable-Barnstable Community Innovation School,00200012,  92.1,  13.6,  68.8,  32.6,   1.0,  47.0
-3.9200000000000004,1,a-vale-i1,2021-22,Barnstable-Hyannis West Elementary,00200025,  91.6,  13.3,  61.3,  29.8,   4.6,  27.5
