Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,% ELA,% Math,% Science and Technology,% Computer and Information Science,% History and Social Sciences,% Arts,% All Other Subjects,Ch 74 Secondary Cooperative Program
NA,NA,a-curv-i4,2024-25,Boston-English High School,00350535,           7,           5,  71.4,   0.0,  42.9,  28.6,   0.0,   0.0,   0.0,  57.1,   0.0
NA,NA,a-curv-i4,2024-25,Boston-Excel High School,00350522,          16,          11,  68.8,  56.3,  56.3,   0.0,  25.0,   0.0,  12.5,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Boston-Fenway High School,00350540,           8,           6,  75.0,  37.5,  37.5,   0.0,   0.0,  12.5,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Boston-Henderson K-12 Inclusion School Upper,00350426,           8,           2,  25.0,   0.0,  25.0,  12.5,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Boston-Horace Mann School for the Deaf Hard of Hearing,00350750,           1,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Boston-Lyon High School,00350655,           4,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Boston-Madison Park Technical Vocational High School,00350537,          11,           5,  45.5,  18.2,  27.3,   9.1,   0.0,   0.0,   9.1,   9.1,  27.3
NA,NA,a-curv-i4,2024-25,Boston-Margarita Muniz Academy,00350549,           1,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Boston-McKinley Schools,00350363,           3,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Boston-New Mission High School,00350542,          13,          12,  92.3,  38.5,  92.3,  30.8,   0.0,  23.1,   0.0,   7.7,   0.0
NA,NA,a-curv-i4,2024-25,Boston-O'Bryant School of Math & Science,00350575,          59,          56,  94.9,  50.8,  83.1,  52.5,  10.2,  42.4,   0.0,   5.1,   0.0
NA,NA,a-curv-i4,2024-25,Boston-Quincy Upper School,00350565,           4,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Boston-Ruth Batson Academy,00350558,           9,           3,  33.3,  33.3,  11.1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Boston-Snowden International High School,00350690,          15,          14,  93.3,  46.7,  60.0,  40.0,   0.0,  40.0,  40.0,  80.0,   0.0
NA,NA,a-curv-i4,2024-25,Boston-TechBoston Academy,00350657,           6,           6, 100.0,  16.7,  83.3,   0.0,  33.3,   0.0,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Bourne-Bourne High School,00360505,         125,          94,  75.2,  22.4,  62.4,  18.4,   4.0,  26.4,   0.0,   3.2,   0.0
NA,NA,a-curv-i4,2024-25,Braintree-Braintree High,00400505,         477,         314,  65.8,   7.5,  63.1,  14.9,   3.4,  28.7,   1.0,   4.6,   0.0
NA,NA,a-curv-i4,2024-25,Bridgewater-Raynham-Bridgewater-Raynham Regional,06250505,         542,         359,  66.2,  29.9,  53.3,  22.0,   4.2,  14.2,   1.1,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Bristol County Agricultural-Bristol County Agricultural High,09100705,         248,         107,  43.1,   0.0,  20.6,  29.0,   0.4,   0.0,   0.0,   0.0,   7.3
NA,NA,a-curv-i4,2024-25,Bristol-Plymouth Regional Vocational Technical-Bristol-Plymouth Vocational Technical,08100605,         529,         414,  78.3,  28.4,  27.0,   0.0,   0.0,   0.0,   0.0,  41.8,  40.1
NA,NA,a-curv-i4,2024-25,Brockton-Brockton High,00440505,         166,         112,  67.5,  22.3,  56.0,  18.1,   3.0,  19.3,   3.6,  11.4,   0.0
NA,NA,a-curv-i4,2024-25,Brockton-Brockton Therapeutic Day School,00440400,           5,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Brockton-Brockton Virtual Learning Academy,00440705,           7,           1,  14.3,   0.0,  14.3,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Brockton-Champion High School,00440535,          10,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
