Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,<26 yrs (# ),26-32 yrs (#),33-40 yrs (#),41-48 yrs (#),49-56 yrs (#),57-64 yrs (#),Over 64 yrs (#),FTE Count,Student Count,Student to Nurse Ratio
6.862222222222223,5,a-phya-i1,2024-25,Arlington - M Norcross Stratton,00100055,          0.0,          0.1,          0.0,          1.0,          1.0,          0.0,          0.0,          2.1,448,213.33333333333331
7.515151515151515,5,a-phya-i1,2024-25,Arlington - Menotomy Preschool,00100038,          0.0,          0.1,          1.0,          0.0,          0.0,          0.0,          0.0,          1.1,100,90.9090909090909
5.554285714285715,5,a-phya-i1,2024-25,Arlington - Ottoson Middle,00100410,          1.0,          0.1,          0.0,          0.0,          1.0,          0.0,          0.0,          2.1,963,458.57142857142856
6.458181818181819,5,a-phya-i1,2024-25,Arlington - Peirce,00100045,          0.0,          0.1,          0.0,          0.0,          0.0,          0.0,          1.0,          1.1,318,289.09090909090907
3.908571428571428,3.91,a-phya-i1,2024-25,Arlington - Thompson,00100050,          0.0,          0.1,          0.0,          0.6,          0.0,          0.0,          0.0,          0.7,537,767.1428571428572
6.770666666666667,5,a-phya-i1,2024-25,Ashburnham-Westminster - Briggs Elementary,06100025,          0.0,          0.0,          1.0,          1.0,          0.0,          0.0,          0.0,          2.0,461,230.5
6.88,5,a-phya-i1,2024-25,Ashburnham-Westminster - Meetinghouse School,06100010,          0.0,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          1.0,210,210.0
6.312,5,a-phya-i1,2024-25,Ashburnham-Westminster - Oakmont Regional High School,06100505,          0.0,          0.0,          1.0,          1.0,          0.0,          0.0,          0.0,          2.0,633,316.5
4.928,4.93,a-phya-i1,2024-25,Ashburnham-Westminster - Overlook Middle School,06100305,          0.0,          0.0,          0.0,          0.0,          0.0,          1.0,          0.0,          1.0,576,576.0
6.0,5,a-phya-i1,2024-25,Ashburnham-Westminster - Westminster Elementary,06100005,          0.0,          1.0,          0.0,          0.0,          0.0,          0.0,          0.0,          1.0,375,375.0
4.071111111111111,4.07,a-phya-i1,2024-25,Ashland - Ashland High,00140505,          0.0,          0.0,          0.6,          0.6,          0.0,          0.0,          0.0,          1.2,884,736.6666666666667
1.9111111111111108,1.91,a-phya-i1,2024-25,Ashland - Ashland Middle,00140405,          0.0,          0.0,          0.0,          0.6,          0.0,          0.0,          0.0,          0.6,685,1141.6666666666667
6.213333333333333,5,a-phya-i1,2024-25,Ashland - David Mindess,00140015,          0.0,          0.0,          0.0,          1.0,          1.0,          0.0,          0.0,          2.0,670,335.0
6.442666666666667,5,a-phya-i1,2024-25,Ashland - Henry E Warren Elementary,00140010,          0.0,          0.0,          0.0,          0.0,          0.0,          2.0,          0.0,          2.0,584,292.0
