Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# Enrolled,# Retained,% Retained,01,02,03,04,05,06,07,08,09,10,11,12
5.6,5,a-degr-i2,2022-23,Acushnet-Acushnet Elementary School,00030025,         406,           5,   1.2,   2.3,   2.8,   0.0,   0.0,"","","","","","","",""
8.0,5,a-degr-i2,2022-23,Acushnet-Albert F Ford Middle School,00030305,         407,           0,   0.0,"","","","",   0.0,   0.0,   0.0,   0.0,"","","",""
7.8,5,a-degr-i2,2022-23,Advanced Math and Science Academy Charter (District)-Advanced Math and Science Academy Charter School,04300305,         966,           1,   0.1,"","","","","",   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.7
5.0,5.0,a-degr-i2,2022-23,Agawam-Agawam High,00050505,"       1,047",          16,   1.5,"","","","","","","","",   4.8,   0.0,   0.4,   0.0
7.2,5,a-degr-i2,2022-23,Agawam-Clifford M Granger,00050010,         278,           1,   0.4,   1.3,   0.0,   0.0,   0.0,"","","","","","","",""
7.2,5,a-degr-i2,2022-23,Agawam-Benjamin J Phelps,00050020,         242,           1,   0.4,   0.0,   0.0,   1.5,   0.0,"","","","","","","",""
8.0,5,a-degr-i2,2022-23,Agawam-Robinson Park,00050025,         231,           0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","","",""
5.6,5,a-degr-i2,2022-23,Agawam-James Clark School,00050030,         242,           3,   1.2,   1.5,   0.0,   3.8,   0.0,"","","","","","","",""
8.0,5,a-degr-i2,2022-23,Agawam-Roberta G. Doering School,00050303,         512,           0,   0.0,"","","","",   0.0,   0.0,"","","","","",""
7.6,5,a-degr-i2,2022-23,Agawam-Agawam Junior High,00050405,         518,           1,   0.2,"","","","","","",   0.0,   0.4,"","","",""
8.0,5,a-degr-i2,2022-23,Alma del Mar Charter School (District)-Alma del Mar Charter School,04090205,         936,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","",""
8.0,5,a-degr-i2,2022-23,Amesbury-Amesbury Elementary,00070005,         243,           0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","","",""
8.0,5,a-degr-i2,2022-23,Amesbury-Charles C Cashman Elementary,00070010,         280,           0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","","",""
8.0,5,a-degr-i2,2022-23,Amesbury-Amesbury Middle,00070013,         584,           0,   0.0,"","","","",   0.0,   0.0,   0.0,   0.0,"","","",""
7.2,5,a-degr-i2,2022-23,Amesbury-Amesbury High,00070505,         448,           2,   0.4,"","","","","","","","",   0.0,   1.0,   0.0,   0.9
8.0,5,a-degr-i2,2022-23,Amesbury-Amesbury Innovation High School,00070515,          45,           0,   0.0,"","","","","","","","",   0.0,   0.0,   0.0,   0.0
7.2,5,a-degr-i2,2022-23,Amherst-Crocker Farm Elementary,00080009,         254,           1,   0.4,   0.0,   0.0,   0.0,   0.0,   2.5,   0.0,"","","","","",""
8.0,5,a-degr-i2,2022-23,Amherst-Wildwood Elementary,00080050,         281,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","",""
8.0,5,a-degr-i2,2022-23,Amherst-Fort River Elementary,00080020,         324,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","",""
8.0,5,a-degr-i2,2022-23,Amherst-Pelham-Amherst Regional Middle School,06050405,         372,           0,   0.0,"","","","","","",   0.0,   0.0,"","","",""
6.8,5,a-degr-i2,2022-23,Amherst-Pelham-Amherst Regional High,06050505,         855,           5,   0.6,"","","","","","","","",   0.0,   0.5,   1.4,   0.5
6.8,5,a-degr-i2,2022-23,Andover-Andover High,00090505,"       1,663",          10,   0.6,"","","","","","","","",   0.5,   0.2,   0.5,   1.2
8.0,5,a-degr-i2,2022-23,Andover-West Elementary,00090025,         466,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","",""
7.0,5,a-degr-i2,2022-23,Andover-South Elementary,00090020,         388,           2,   0.5,   2.7,   0.0,   0.0,   0.0,   0.0,"","","","","","",""
7.2,5,a-degr-i2,2022-23,Andover-Henry C Sanborn Elementary,00090010,         279,           1,   0.4,   0.0,   0.0,   2.1,   0.0,   0.0,"","","","","","",""
8.0,5,a-degr-i2,2022-23,Andover-High Plain Elementary,00090004,         465,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","",""
8.0,5,a-degr-i2,2022-23,Andover-Bancroft Elementary,00090003,         456,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","",""
8.0,5,a-degr-i2,2022-23,Andover-Andover West Middle,00090310,         518,           0,   0.0,"","","","","",   0.0,   0.0,   0.0,"","","",""
8.0,5,a-degr-i2,2022-23,Andover-Wood Hill Middle School,00090350,         338,           0,   0.0,"","","","","",   0.0,   0.0,   0.0,"","","",""
8.0,5,a-degr-i2,2022-23,Andover-Doherty Middle,00090305,         461,           0,   0.0,"","","","","",   0.0,   0.0,   0.0,"","","",""
-1.8000000000000007,1,a-degr-i2,2022-23,Argosy Collegiate Charter School (District)-Argosy Collegiate Charter School,35090305,         553,          27,   4.9,"","","","","",   1.0,   0.0,   2.1,  15.6,   7.4,   8.0,   2.0
8.0,5,a-degr-i2,2022-23,Arlington-Peirce,00100045,         298,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","","",""
