Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# Grade Nine Students,# Passing All Courses,% Passing All Courses
3.5242105263157897,3.52,a-ovpe-i1,2021-22,Hampden Charter School of Science East (District)-Hampden Charter School of Science East,04990305,          86,          72,  83.7
3.8526315789473684,3.85,a-ovpe-i1,2021-22,Hampden Charter School of Science West (District)-Hampden Charter School of Science West,35160305,          59,          54,  91.5
3.818947368421053,3.82,a-ovpe-i1,2021-22,Hampden-Wilbraham-Minnechaug Regional High,06800505,         246,         223,  90.7
3.9621052631578944,3.96,a-ovpe-i1,2021-22,Hampshire-Hampshire Regional High,06830505,         102,          96,  94.1
4.185263157894737,4.19,a-ovpe-i1,2021-22,Hanover-Hanover High,01220505,         172,         171,  99.4
4.046315789473684,4.05,a-ovpe-i1,2021-22,Harvard-Bromfield,01250505,          77,          74,  96.1
4.2105263157894735,4.21,a-ovpe-i1,2021-22,Hatfield-Smith Academy,01270505,          21,          21, 100.0
NA,NA,a-ovpe-i1,2021-22,Haverhill-Bartlett School and Assessment Center,01280073,           1,"",""
NA,NA,a-ovpe-i1,2021-22,Haverhill-Crowell,01280515,           2,"",""
NA,NA,a-ovpe-i1,2021-22,Haverhill-Greenleaf Academy,01280033,           3,"",""
1.7894736842105263,1.79,a-ovpe-i1,2021-22,Haverhill-Haverhill High,01280505,         614,         261,  42.5
4.021052631578947,4.02,a-ovpe-i1,2021-22,Hingham-Hingham High,01310505,         267,         255,  95.5
3.2673684210526313,3.27,a-ovpe-i1,2021-22,Holbrook-Holbrook Middle High School,01330505,          76,          59,  77.6
3.8273684210526318,3.83,a-ovpe-i1,2021-22,Holliston-Holliston High,01360505,         208,         189,  90.9
2.437894736842105,2.44,a-ovpe-i1,2021-22,Holyoke-Holyoke High,01370505,         354,         205,  57.9
2.4842105263157896,2.48,a-ovpe-i1,2021-22,Hoosac Valley Regional-Hoosac Valley High School,06030505,          61,          36,  59.0
4.092631578947368,4.09,a-ovpe-i1,2021-22,Hopedale-Hopedale Jr Sr High,01380505,          72,          70,  97.2
0.09263157894736843,1,a-ovpe-i1,2021-22,Hopkinton-Hopkinton High,01390505,         324,           7,   2.2
3.1157894736842104,3.12,a-ovpe-i1,2021-22,Hudson-Hudson High,01410505,         177,         131,  74.0
4.2105263157894735,4.21,a-ovpe-i1,2021-22,Hull-Hull High,01420505,          65,          65, 100.0
3.5031578947368422,3.5,a-ovpe-i1,2021-22,Innovation Academy Charter (District)-Innovation Academy Charter School,04350305,         107,          89,  83.2
3.9494736842105262,3.95,a-ovpe-i1,2021-22,Ipswich-Ipswich High,01440505,         130,         122,  93.8
3.886315789473684,3.89,a-ovpe-i1,2021-22,KIPP Academy Lynn Charter (District)-KIPP Academy Lynn Charter School,04290010,         130,         120,  92.3
3.983157894736842,3.98,a-ovpe-i1,2021-22,King Philip-King Philip Regional High,06900505,         276,         261,  94.6
NA,NA,a-ovpe-i1,2021-22,Lawrence-High School Learning Center,01490536,           1,"",""
2.9221052631578948,2.92,a-ovpe-i1,2021-22,Lawrence-Lawrence High School,01490515,         905,         628,  69.4
2.6778947368421053,2.68,a-ovpe-i1,2021-22,Lawrence-School for Exceptional Studies,01490537,          11,           7,  63.6
3.608421052631579,3.61,a-ovpe-i1,2021-22,Lee-Lee Middle/High School,01500505,          56,          48,  85.7
