Raw likert calculation,Likert Score,Admin Data Item,Academic Year,Teachers of color (%),School Name,DESE ID,African American (%),Asian (%),Hispanic (%),White (%),Native American (%),Native Hawaiian Pacific Islander (%),Multi-Race Non-Hispanic (%),Females (%),Males (%),FTE Count
1.8,1.8,"",2022-23,1.8,Andover - West Elementary,00090025,   0.0,   0.0,   1.8,  98.2,   0.0,   0.0,   0.0,  85.2,  14.8,         33.7
7.2,5,"",2022-23,7.2,Andover - Wood Hill Middle School,00090350,   0.0,   3.6,   3.6,  92.9,   0.0,   0.0,   0.0,  66.6,  33.4,         28.0
13.2,5,"",2022-23,13.2,Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,   5.5,   3.4,   4.3,  86.8,   0.0,   0.0,   0.0,  48.0,  52.0,         23.5
8.4,5,"",2022-23,8.4,Arlington - Arlington High,00100505,   0.5,   2.7,   3.7,  91.6,   0.0,   0.0,   1.5,  59.1,  40.9,        105.4
7.4,5,"",2022-23,7.4,Arlington - Brackett,00100010,   0.0,   3.7,   3.7,  92.6,   0.0,   0.0,   0.0,  92.6,   7.4,         27.0
11.5,5,"",2022-23,11.5,Arlington - Cyrus E Dallin,00100025,   3.8,   7.7,   0.0,  88.5,   0.0,   0.0,   0.0,  80.8,  19.2,         26.0
2.0,2.0,"",2022-23,2.0,Arlington - Gibbs School,00100305,   0.0,   1.4,   0.6,  98.0,   0.0,   0.0,   0.0,  71.5,  28.5,         36.1
4.2,4.2,"",2022-23,4.2,Arlington - Hardy,00100030,   0.0,   4.2,   0.0,  95.8,   0.0,   0.0,   0.0,  95.8,   4.2,         23.8
4.3,4.3,"",2022-23,4.3,Arlington - John A Bishop,00100005,   4.3,   0.0,   0.0,  95.7,   0.0,   0.0,   0.0,  87.0,  13.0,         23.0
8.4,5,"",2022-23,8.4,Arlington - M Norcross Stratton,00100055,   0.0,   0.0,   4.2,  91.7,   0.0,   0.0,   4.2,  95.8,   4.2,         24.0
0.0,1,"",2022-23,0.0,Arlington - Menotomy Preschool,00100038,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0, 100.0,   0.0,          7.0
10.899999999999999,5,"",2022-23,10.899999999999999,Arlington - Ottoson Middle,00100410,   1.3,   5.3,   4.3,  89.0,   0.0,   0.0,   0.0,  74.0,  26.0,         75.0
14.0,5,"",2022-23,14.0,Arlington - Peirce,00100045,   0.0,  14.0,   0.0,  86.0,   0.0,   0.0,   0.0,  88.4,  11.6,         21.5
0.0,1,"",2022-23,0.0,Arlington - Thompson,00100050,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  85.7,  14.3,         28.0
6.2,5,"",2022-23,6.2,Ashburnham-Westminster - Briggs Elementary,06100025,   0.0,   0.0,   0.0,  93.8,   0.0,   0.0,   6.2,  81.2,  18.7,         32.0
0.0,1,"",2022-23,0.0,Ashburnham-Westminster - Meetinghouse School,06100010,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  97.3,   2.7,         12.4
5.1,5,"",2022-23,5.1,Ashburnham-Westminster - Oakmont Regional High School,06100505,   5.1,   0.0,   0.0,  94.9,   0.0,   0.0,   0.0,  43.8,  56.2,         39.5
2.9,2.9,"",2022-23,2.9,Ashburnham-Westminster - Overlook Middle School,06100305,   0.0,   0.0,   2.9,  97.1,   0.0,   0.0,   0.0,  58.9,  41.1,         34.1
0.0,1,"",2022-23,0.0,Ashburnham-Westminster - Westminster Elementary,06100005,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  92.7,   7.3,         22.8
1.7,1.7,"",2022-23,1.7,Ashland - Ashland High,00140505,   0.0,   0.0,   1.7,  98.3,   0.0,   0.0,   0.0,  62.4,  37.6,         57.4
4.2,4.2,"",2022-23,4.2,Ashland - Ashland Middle,00140405,   0.0,   2.1,   2.1,  95.9,   0.0,   0.0,   0.0,  69.9,  30.1,         48.4
4.6,4.6,"",2022-23,4.6,Ashland - David Mindess,00140015,   0.0,   0.0,   4.6,  95.4,   0.0,   0.0,   0.0,  96.7,   3.3,         43.0
2.2,2.2,"",2022-23,2.2,Ashland - Henry E Warren Elementary,00140010,   0.0,   0.0,   0.0,  97.8,   0.0,   0.0,   2.2,  97.8,   2.2,         45.9
0.0,1,"",2022-23,0.0,Ashland - William Pittaway Elementary,00140005,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0, 100.0,   0.0,          7.0
4.5,4.5,"",2022-23,4.5,Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,   1.1,   0.0,   3.4,  95.5,   0.0,   0.0,   0.0,  38.4,  61.6,         89.2
3.3,3.3,"",2022-23,3.3,Athol-Royalston - Athol Community Elementary School,06150020,   0.0,   0.0,   3.3,  96.7,   0.0,   0.0,   0.0,  83.4,  16.6,         30.1
3.8,3.8,"",2022-23,3.8,Athol-Royalston - Athol High,06150505,   0.0,   0.0,   3.8,  96.2,   0.0,   0.0,   0.0,  54.8,  45.2,         26.1
0.0,1,"",2022-23,0.0,Athol-Royalston - Athol-Royalston Middle School,06150305,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  66.7,  33.3,         27.0
0.0,1,"",2022-23,0.0,Athol-Royalston - Royalston Community School,06150050,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  90.0,  10.0,         10.0
6.799999999999999,5,"",2022-23,6.799999999999999,Atlantis Charter (District) - Atlantis Charter School,04910550,   2.3,   1.1,   2.3,  93.2,   0.0,   0.0,   1.1,  71.5,  28.5,         87.8
5.1,5,"",2022-23,5.1,Attleboro - A. Irvin Studley Elementary School,00160001,   0.0,   0.0,   5.1,  94.9,   0.0,   0.0,   0.0,  94.9,   5.1,         19.7
20.299999999999997,5,"",2022-23,20.299999999999997,Attleboro - Attleboro Community Academy,00160515,   3.4,   0.0,  16.9,  79.7,   0.0,   0.0,   0.0,  52.7,  47.3,          3.0
13.600000000000001,5,"",2022-23,13.600000000000001,Attleboro - Attleboro High,00160505,   3.6,   1.9,   7.3,  86.5,   0.0,   0.0,   0.8,  56.8,  43.2,        107.0
0.0,1,"",2022-23,0.0,Attleboro - Attleboro Virtual Academy,00160705,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,          0.0
0.0,1,"",2022-23,0.0,Attleboro - Cyril K. Brennan Middle School,00160315,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  81.0,  19.0,         31.5
0.0,1,"",2022-23,0.0,Attleboro - Early Learning Center,00160008,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0, 100.0,   0.0,          7.8
0.0,1,"",2022-23,0.0,Attleboro - Hill-Roberts Elementary School,00160045,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0, 100.0,   0.0,         23.0
4.3,4.3,"",2022-23,4.3,Attleboro - Hyman Fine Elementary School,00160040,   0.0,   0.0,   4.3,  95.7,   0.0,   0.0,   0.0,  91.4,   8.6,         23.2
3.5,3.5,"",2022-23,3.5,Attleboro - Peter Thacher Elementary School,00160050,   0.0,   0.0,   0.0,  96.5,   0.0,   0.0,   3.5,  85.9,  14.1,         28.4
0.0,1,"",2022-23,0.0,Attleboro - Robert J. Coelho Middle School,00160305,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  71.9,  28.1,         32.0
0.0,1,"",2022-23,0.0,Attleboro - Thomas Willett Elementary School,00160035,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  93.7,   6.3,         15.9
5.4,5,"",2022-23,5.4,Attleboro - Wamsutta Middle School,00160320,   0.0,   0.0,   3.6,  94.6,   1.8,   0.0,   0.0,  83.8,  16.2,         27.7
4.9,4.9,"",2022-23,4.9,Auburn - Auburn Middle,00170305,   0.0,   0.0,   4.9,  95.1,   0.0,   0.0,   0.0,  70.4,  29.6,         41.1
1.7,1.7,"",2022-23,1.7,Auburn - Auburn Senior High,00170505,   0.0,   0.0,   1.7,  98.3,   0.0,   0.0,   0.0,  55.7,  44.3,         60.0
0.0,1,"",2022-23,0.0,Auburn - Bryn Mawr,00170010,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0, 100.0,   0.0,         14.6
0.0,1,"",2022-23,0.0,Auburn - Pakachoag School,00170025,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0, 100.0,   0.0,         13.5
0.0,1,"",2022-23,0.0,Auburn - Swanson Road Intermediate School,00170030,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  92.2,   7.8,         32.7
12.8,5,"",2022-23,12.8,Avon - Avon Middle High School,00180510,   5.7,   4.3,   2.8,  87.2,   0.0,   0.0,   0.0,  61.6,  38.4,         35.2
7.4,5,"",2022-23,7.4,Avon - Ralph D Butler,00180010,   7.4,   0.0,   0.0,  92.6,   0.0,   0.0,   0.0,  88.9,  11.1,         27.0
3.6,3.6,"",2022-23,3.6,Ayer Shirley School District - Ayer Shirley Regional High School,06160505,   0.0,   0.0,   3.6,  96.4,   0.0,   0.0,   0.0,  40.1,  59.9,         27.4
12.299999999999999,5,"",2022-23,12.299999999999999,Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,   0.0,   0.0,   8.2,  87.8,   0.0,   0.0,   4.1,  52.4,  47.6,         24.5
4.5,4.5,"",2022-23,4.5,Ayer Shirley School District - Lura A. White Elementary School,06160001,   0.0,   4.5,   0.0,  95.5,   0.0,   0.0,   0.0,  90.9,   9.1,         22.0
0.0,1,"",2022-23,0.0,Ayer Shirley School District - Page Hilltop Elementary School,06160002,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  90.6,   9.4,         31.8
8.4,5,"",2022-23,8.4,Barnstable - Barnstable Community Innovation School,00200012,   0.0,   4.2,   0.0,  91.6,   4.2,   0.0,   0.0,  87.9,  12.1,         23.9
6.000000000000001,5,"",2022-23,6.000000000000001,Barnstable - Barnstable High,00200505,   1.8,   1.4,   2.1,  94.0,   0.0,   0.0,   0.7,  69.1,  30.9,        142.2
4.8,4.8,"",2022-23,4.8,Barnstable - Barnstable Intermediate School,00200315,   2.4,   2.4,   0.0,  95.2,   0.0,   0.0,   0.0,  71.3,  28.7,         41.8
6.300000000000001,5,"",2022-23,6.300000000000001,Barnstable - Barnstable United Elementary School,00200050,   2.1,   0.0,   0.0,  93.7,   2.1,   0.0,   2.1,  85.8,  14.2,         47.9
5.7,5,"",2022-23,5.7,Barnstable - Centerville Elementary,00200010,   0.0,   5.7,   0.0,  94.3,   0.0,   0.0,   0.0,  79.6,  20.4,         17.6
11.1,5,"",2022-23,11.1,Barnstable - Enoch Cobb Early Learning Center,00200001,   0.0,   0.0,  11.1,  88.9,   0.0,   0.0,   0.0, 100.0,   0.0,          9.0
8.0,5,"",2022-23,8.0,Barnstable - Hyannis West Elementary,00200025,   0.0,   4.0,   4.0,  91.9,   0.0,   0.0,   0.0,  96.0,   4.0,         24.8
0.0,1,"",2022-23,0.0,Barnstable - West Barnstable Elementary,00200005,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  90.0,  10.0,         18.0
0.0,1,"",2022-23,0.0,Barnstable - West Villages Elementary School,00200045,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  93.3,   6.7,         26.8
49.7,5,"",2022-23,49.7,Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,  30.0,   2.5,  15.1,  50.2,   0.0,   0.0,   2.1,  53.1,  46.9,         31.4
6.0,5,"",2022-23,6.0,Bedford - Bedford High,00230505,   0.0,   0.0,   6.0,  94.0,   0.0,   0.0,   0.0,  56.8,  43.2,         63.6
0.5,1,"",2022-23,0.5,Bedford - John Glenn Middle,00230305,   0.0,   0.0,   0.5,  99.5,   0.0,   0.0,   0.0,  76.4,  23.6,         42.4
6.0,5,"",2022-23,6.0,Bedford - Lt Eleazer Davis,00230010,   0.0,   6.0,   0.0,  94.0,   0.0,   0.0,   0.0,  91.0,   9.0,         33.2
9.0,5,"",2022-23,9.0,Bedford - Lt Job Lane School,00230012,   0.0,   6.0,   0.0,  91.0,   0.0,   0.0,   3.0,  88.0,  12.0,         33.3
4.1,4.1,"",2022-23,4.1,Belchertown - Belchertown High,00240505,   0.0,   0.0,   4.1,  95.9,   0.0,   0.0,   0.0,  63.1,  36.9,         49.2
0.0,1,"",2022-23,0.0,Belchertown - Chestnut Hill Community School,00240006,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  82.5,  17.5,         28.6
0.0,1,"",2022-23,0.0,Belchertown - Cold Spring,00240005,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  90.9,   9.1,         11.0
6.4,5,"",2022-23,6.4,Belchertown - Jabish Middle School,00240025,   0.0,   0.0,   3.2,  93.6,   0.0,   3.2,   0.0,  77.7,  22.3,         31.4
0.0,1,"",2022-23,0.0,Belchertown - Swift River Elementary,00240018,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  92.6,   7.4,         27.0
0.0,1,"",2022-23,0.0,Bellingham - Bellingham Early Childhood Center,00250003,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0, 100.0,   0.0,          5.0
5.3,5,"",2022-23,5.3,Bellingham - Bellingham High School,00250505,   1.8,   3.5,   0.0,  94.7,   0.0,   0.0,   0.0,  59.3,  40.7,         56.5
0.0,1,"",2022-23,0.0,Bellingham - Bellingham Memorial School,00250315,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  68.0,  32.0,         36.0
0.0,1,"",2022-23,0.0,Bellingham - Joseph F DiPietro Elementary School,00250020,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0, 100.0,   0.0,         17.4
14.5,5,"",2022-23,14.5,Bellingham - Keough Memorial Academy,00250510,   0.0,  14.5,   0.0,  85.5,   0.0,   0.0,   0.0,  13.0,  87.0,          6.9
0.0,1,"",2022-23,0.0,Bellingham - Stall Brook,00250025,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  94.9,   5.1,         15.8
14.600000000000001,5,"",2022-23,14.600000000000001,Belmont - Belmont High,00260505,   2.7,   6.6,   4.0,  85.4,   0.0,   0.0,   1.3,  67.8,  32.2,         75.4
13.4,5,"",2022-23,13.4,Belmont - Daniel Butler,00260015,   0.0,   5.0,   0.0,  86.6,   0.0,   0.0,   8.4,  80.2,  19.8,         20.2
