Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
3.54,3.54,a-reso-i1,2022-23,Ashland - David Mindess,00140015,     305,  22.3,        652,  46.6,  53.4,   9.8,  24.2,26.1
3.9799999999999995,3.98,a-reso-i1,2022-23,Ashland - Henry E Warren Elementary,00140010,     198,  20.1,        632,  48.4,  51.4,  13.3,  16.3,22.9
7.0,5,a-reso-i1,2022-23,Ashland - William Pittaway Elementary,00140005,      19,   5.0,         85,  48.2,  51.8,  21.2,  40.0,20
4.5200000000000005,4.52,a-reso-i1,2022-23,Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,     604,  17.4,"      1,118",  43.8,  55.2,   6.3,  24.1,41.4
3.8600000000000003,3.86,a-reso-i1,2022-23,Athol-Royalston - Athol Community Elementary School,06150020,     211,  20.7,        589,  46.7,  53.1,   3.2,  26.7,69.3
4.68,4.68,a-reso-i1,2022-23,Athol-Royalston - Athol High,06150505,     246,  16.6,        401,  43.9,  56.1,   2.7,  23.4,62.3
4.1,4.1,a-reso-i1,2022-23,Athol-Royalston - Athol-Royalston Middle School,06150305,     269,  19.5,        447,  47.7,  52.4,   1.1,  28.4,64.2
4.32,4.32,a-reso-i1,2022-23,Athol-Royalston - Royalston Community School,06150050,      54,  18.4,        156,  43.0,  57.1,   0.0,  15.4,48.7
3.9200000000000004,3.92,a-reso-i1,2022-23,Atlantis Charter (District) - Atlantis Charter School,04910550,     532,  20.4,"      1,296",  52.7,  47.1,  18.1,  16.8,61.2
4.279999999999999,4.28,a-reso-i1,2022-23,Attleboro - A. Irvin Studley Elementary School,00160001,     169,  18.6,        349,  47.3,  52.4,   9.7,  20.1,39.5
5.8,5,a-reso-i1,2022-23,Attleboro - Attleboro Community Academy,00160515,      91,  11.0,         77,  45.5,  53.3,   5.2,  10.4,61
4.279999999999999,4.28,a-reso-i1,2022-23,Attleboro - Attleboro High,00160505,     958,  18.6,"      1,883",  45.5,  54.0,   4.1,  12.2,37.4
