Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Law Enforcement Referral
4.963946869070209,4.96,a-phys-i1,2021-22,Attleboro - Robert J. Coelho Middle School,00160305,     621,      35,   1.6,   4.0,   0.0,   0.0,   1.9,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Attleboro - Thomas Willett Elementary School,00160035,     391,       4,"","","","","","",""
6.633776091081593,5,a-phys-i1,2021-22,Attleboro - Wamsutta Middle School,00160320,     600,      27,   3.2,   1.8,   0.0,   0.0,   0.2,   0.0,   0.0
5.267552182163188,5,a-phys-i1,2021-22,Auburn - Auburn Middle,00170305,     659,      27,   0.8,   3.6,   0.0,   0.0,   0.2,   0.0,   0.3
4.432637571157495,4.43,a-phys-i1,2021-22,Auburn - Auburn Senior High,00170505,     859,      59,   4.1,   4.7,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Auburn - Bryn Mawr,00170010,     271,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Auburn - Pakachoag School,00170025,     266,       0,"","","","","","",""
7.240986717267552,5,a-phys-i1,2021-22,Auburn - Swanson Road Intermediate School,00170030,     591,       7,   0.2,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0
4.280834914611005,4.28,a-phys-i1,2021-22,Avon - Avon Middle High School,00180510,     329,      18,   0.6,   4.9,   0.0,   0.0,   0.3,   0.0,   0.0
7.240986717267552,5,a-phys-i1,2021-22,Avon - Ralph D Butler,00180010,     415,       9,   1.2,   1.0,   0.0,   0.0,   0.5,   0.0,   0.0
5.647058823529412,5,a-phys-i1,2021-22,Ayer Shirley School District - Ayer Shirley Regional High School,06160505,     389,      12,   0.0,   3.1,   0.0,   0.0,   0.0,   0.0,   0.0
7.620493358633776,5,a-phys-i1,2021-22,Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,     400,      37,   9.0,   0.5,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Ayer Shirley School District - Lura A. White Elementary School,06160001,     332,       4,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Ayer Shirley School District - Page Hilltop Elementary School,06160002,     564,       2,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Barnstable - Barnstable Community Innovation School,00200012,     302,       1,"","","","","","",""
1.548387096774193,1.55,a-phys-i1,2021-22,Barnstable - Barnstable High,00200505,"   1,897",     163,   0.2,   8.5,   0.0,   0.0,   0.2,   0.0,   0.0
2.5351043643263753,2.54,a-phys-i1,2021-22,Barnstable - Barnstable Intermediate School,00200315,     750,      64,   1.1,   7.2,   0.0,   0.0,   1.2,   0.0,   0.0
4.812144212523719,4.81,a-phys-i1,2021-22,Barnstable - Barnstable United Elementary School,00200050,     777,      34,   0.1,   4.2,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Barnstable - Centerville Elementary,00200010,     260,       1,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Barnstable - Enoch Cobb Early Learning Center,00200001,     190,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Barnstable - Hyannis West Elementary,00200025,     358,       1,"","","","","","",""
6.0265654648956355,5,a-phys-i1,2021-22,Barnstable - West Barnstable Elementary,00200005,     266,       8,   0.8,   2.6,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Barnstable - West Villages Elementary School,00200045,     386,       3,"","","","","","",""
-10.747628083491461,1,a-phys-i1,2021-22,Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,     465,     117,   0.2,  24.7,   0.4,   0.0,   0.0,   0.0,   0.0
6.25426944971537,5,a-phys-i1,2021-22,Bedford - Bedford High,00230505,     864,      20,   0.1,   2.3,   0.0,   0.0,   0.0,   0.0,   0.0
5.571157495256166,5,a-phys-i1,2021-22,Bedford - John Glenn Middle,00230305,     625,      36,   3.5,   3.2,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Bedford - Lt Elezer Davis,00230010,     577,       2,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Bedford - Lt Job Lane School,00230012,     611,       0,"","","","","","",""
4.7362428842504745,4.74,a-phys-i1,2021-22,Belchertown - Belchertown High,00240505,     669,      29,   0.0,   4.3,   0.0,   0.0,   0.0,   0.0,   0.3
NA,NA,a-phys-i1,2021-22,Belchertown - Chestnut Hill Community School,00240006,     490,       4,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Belchertown - Cold Spring,00240005,     227,       1,"","","","","","",""
6.709677419354839,5,a-phys-i1,2021-22,Belchertown - Jabish Middle School,00240025,     344,      32,   9.0,   1.7,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Belchertown - Swift River Elementary,00240018,     463,       3,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Bellingham - Bellingham Early Childhood Center,00250003,     101,       0,"","","","","","",""
6.1024667931688805,5,a-phys-i1,2021-22,Bellingham - Bellingham High School,00250505,     763,      22,   0.4,   2.5,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Bellingham - Bellingham Memorial School,00250315,     623,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Bellingham - Joseph F DiPietro Elementary School,00250020,     324,       0,"","","","","","",""
