Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,4 Year Private College,4 Year Public College,2 Year Private College,2 Year Public College,Other Post Secondary,Apprenticeship,Work,Military,Other,Unknown,Total
4.469333333333333,4.47,a-cgpr-i1,2016-17,Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,04240505,   0.0,  34.9,   0.0,  25.6,  14.0,"",   9.3,   0.0,   9.3,   0.0,      43
4.752,4.75,a-cgpr-i1,2016-17,Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,04110305,  18.2,  40.0,   1.8,  18.2,   1.8,"",   9.1,   3.6,   0.0,   7.3,      55
5.338666666666667,5,a-cgpr-i1,2016-17,Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,04160305,  41.9,  51.2,   2.3,   4.7,   0.0,"",   0.0,   0.0,   0.0,   0.0,      43
4.117333333333334,4.12,a-cgpr-i1,2016-17,Bourne - Bourne High School,00360505,  29.2,  27.1,   3.1,  11.5,   2.1,"",   4.2,   5.2,   0.0,  17.7,      96
5.28,5,a-cgpr-i1,2016-17,Braintree - Braintree High,00400505,  30.9,  49.0,   0.0,  11.8,   3.1,"",   4.2,   0.3,   0.5,   0.3,     382
5.029333333333333,5,a-cgpr-i1,2016-17,Bridgewater-Raynham - Bridgewater-Raynham Regional,06250505,  29.7,  46.1,   1.0,  11.5,   0.8,"",   5.2,   2.1,   0.0,   3.6,     384
0.0,1,a-cgpr-i1,2016-17,Bridgewater-Raynham - Therapeutic Day School,06250415,"","","","","","","","","","",       3
5.029333333333333,5,a-cgpr-i1,2016-17,Bristol County Agricultural - Bristol County Agricultural High,09100705,  15.0,  36.4,   0.9,  21.5,   9.3,"",  11.2,   2.8,   0.0,   2.8,     107
4.784,4.78,a-cgpr-i1,2016-17,Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,08100605,  10.8,  24.4,   0.6,  22.5,   2.2,"",  29.2,   6.7,   1.0,   2.5,     315
3.8506666666666667,3.85,a-cgpr-i1,2016-17,Brockton - Brockton Champion High School,00440515,   0.0,   0.0,   0.0,  72.2,   0.0,"",   0.0,   0.0,   0.0,  27.8,      18
4.4159999999999995,4.42,a-cgpr-i1,2016-17,Brockton - Brockton High,00440505,  15.9,  26.0,   0.9,  33.1,   2.1,"",   4.8,   3.6,   0.6,  12.9,     953
0.4106666666666666,1,a-cgpr-i1,2016-17,Brockton - Edison Academy,00440520,   0.0,   2.9,   0.0,   1.9,   0.0,"",   2.9,   1.0,   0.0,  91.3,     104
0.0,1,a-cgpr-i1,2016-17,Brockton - Frederick Douglass Academy,00440080,"","","","","","","","","","",       5
0.0,1,a-cgpr-i1,2016-17,Brockton - Goddard Alternative School,00440400,"","","","","","","","","","",       4
4.992000000000001,4.99,a-cgpr-i1,2016-17,Brookline - Brookline High,00460505,  58.7,  30.1,   0.0,   3.7,   0.0,"",   1.1,   0.7,   2.4,   3.3,     458
5.146666666666667,5,a-cgpr-i1,2016-17,Burlington - Burlington High,00480505,  42.1,  40.2,   0.4,   9.8,   2.0,"",   2.0,   2.4,   1.2,   0.0,     254
4.704,4.7,a-cgpr-i1,2016-17,Cambridge - Cambridge Rindge and Latin,00490506,  47.4,  26.2,   0.0,  10.6,   2.0,"",   2.0,   0.0,   3.1,   8.8,     454
5.231999999999999,5,a-cgpr-i1,2016-17,Canton - Canton High,00500505,  55.8,  26.9,   0.0,   7.7,   1.9,"",   5.8,   1.4,   0.5,   0.0,     208
4.874666666666667,4.87,a-cgpr-i1,2016-17,Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,08150605,  11.7,  16.1,   1.5,  21.2,   7.3,"",  33.6,   4.4,   0.7,   3.6,     137
4.789333333333333,4.79,a-cgpr-i1,2016-17,Carver - Carver Middle/High School,00520405,  19.4,  37.8,   1.0,  15.3,   1.0,"",  15.3,   6.1,   0.0,   4.1,      98
5.333333333333333,5,a-cgpr-i1,2016-17,Central Berkshire - Wahconah Regional High,06350505,  25.2,  29.0,   0.0,  32.8,   2.3,"",  10.7,   0.0,   0.0,   0.0,     131
5.1306666666666665,5,a-cgpr-i1,2016-17,Chelmsford - Chelmsford High,00560505,  43.5,  39.1,   0.6,   9.4,   2.8,"",   0.8,   1.1,   1.4,   1.4,     361
4.1546666666666665,4.15,a-cgpr-i1,2016-17,Chelsea - Chelsea High,00570505,   5.9,  23.6,   0.0,  37.3,   6.3,"",   4.8,   2.2,   1.8,  18.1,     271
2.6666666666666665,2.67,a-cgpr-i1,2016-17,Chicopee - Chicopee Academy,00610021,   0.0,   0.0,   0.0,  30.0,   0.0,"",  20.0,   0.0,  10.0,  40.0,      10
4.832,4.83,a-cgpr-i1,2016-17,Chicopee - Chicopee Comprehensive High School,00610510,  18.2,   9.1,   0.3,  37.1,   0.6,"",  25.3,   4.7,   0.3,   4.4,     340
4.746666666666667,4.75,a-cgpr-i1,2016-17,Chicopee - Chicopee High,00610505,  24.0,  14.3,   0.0,  38.7,   2.3,"",   9.7,   0.9,   8.3,   1.8,     217
5.237333333333334,5,a-cgpr-i1,2016-17,City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,04370505,  35.2,  37.0,   3.7,  13.0,   1.9,"",   7.4,   0.0,   1.9,   0.0,      54
5.328,5,a-cgpr-i1,2016-17,City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square,35040505,  21.6,  45.9,   5.4,  27.0,   0.0,"",   0.0,   0.0,   0.0,   0.0,      37
5.274666666666667,5,a-cgpr-i1,2016-17,Clinton - Clinton Senior High,00640505,  23.2,  30.3,   0.0,  34.3,   7.1,"",   4.0,   1.0,   0.0,   0.0,      99
5.168,5,a-cgpr-i1,2016-17,Codman Academy Charter Public (District) - Codman Academy Charter Public School,04380505,  21.9,  28.1,   6.3,  40.6,   0.0,"",   0.0,   0.0,   3.1,   0.0,      32
5.333333333333333,5,a-cgpr-i1,2016-17,Cohasset - Cohasset Middle/High School,00650505,  58.2,  39.6,   0.0,   1.1,   1.1,"",   0.0,   0.0,   0.0,   0.0,      91
4.928,4.93,a-cgpr-i1,2016-17,Community Charter School of Cambridge (District) - Community Charter School of Cambridge,04360305,  35.8,  45.3,   1.9,   7.5,   0.0,"",   1.9,   0.0,   0.0,   7.5,      53
5.125333333333332,5,a-cgpr-i1,2016-17,Concord-Carlisle - Concord Carlisle High,06400505,  90.3,   1.6,   0.0,   2.3,   1.3,"",   0.6,   0.0,   1.0,   2.9,     309
5.040000000000001,5,a-cgpr-i1,2016-17,Danvers - Danvers High,00710505,  39.2,  38.8,   0.4,  13.3,   0.4,"",   2.4,   0.0,   0.4,   5.1,     255
5.0133333333333345,5,a-cgpr-i1,2016-17,Dartmouth - Dartmouth High,00720505,  24.8,  43.1,   0.4,  22.4,   0.0,"",   3.3,   2.0,   1.2,   2.8,     246
4.8053333333333335,4.81,a-cgpr-i1,2016-17,Dedham - Dedham High,00730505,  27.3,  43.7,   1.6,  11.5,   1.1,"",   4.9,   2.2,   1.6,   6.0,     183
