Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,Nonbinary
NA,NA,"",2024-25,Arlington - M Norcross Stratton,00100055,   0.0,  21.9,   3.3,   8.7,  11.6,   0.0,  54.5,  49.3,  50.2,   0.4
NA,NA,"",2024-25,Arlington - Menotomy Preschool,00100038,   0.0,  22.0,  12.0,  13.0,   7.0,   0.0,  46.0,  38.0,  62.0,   0.0
NA,NA,"",2024-25,Arlington - Ottoson Middle,00100410,   0.0,  13.7,   2.9,   8.5,   6.6,   0.0,  68.2,  50.1,  49.1,   0.8
NA,NA,"",2024-25,Arlington - Peirce,00100045,   0.0,  13.8,   4.4,  11.0,   8.8,   0.0,  61.9,  42.8,  56.9,   0.3
NA,NA,"",2024-25,Arlington - Thompson,00100050,   0.2,  13.2,   4.7,   9.1,  12.1,   0.0,  60.7,  52.3,  47.5,   0.2
NA,NA,"",2024-25,Ashburnham-Westminster - Briggs Elementary,06100025,   0.0,   0.9,   3.0,   5.6,   2.8,   0.0,  87.6,  50.8,  49.0,   0.2
NA,NA,"",2024-25,Ashburnham-Westminster - Meetinghouse School,06100010,   0.0,   0.5,   5.7,   5.2,   3.3,   0.0,  85.2,  47.1,  52.9,   0.0
NA,NA,"",2024-25,Ashburnham-Westminster - Oakmont Regional High School,06100505,   0.0,   1.4,   2.1,   7.6,   3.6,   0.0,  85.3,  46.6,  51.7,   1.7
NA,NA,"",2024-25,Ashburnham-Westminster - Overlook Middle School,06100305,   0.0,   0.9,   1.9,   8.3,   2.6,   0.0,  86.3,  50.7,  49.3,   0.0
NA,NA,"",2024-25,Ashburnham-Westminster - Westminster Elementary,06100005,   0.0,   0.5,   1.9,   5.1,   2.9,   0.0,  89.6,  51.5,  48.3,   0.3
NA,NA,"",2024-25,Ashland - Ashland High,00140505,   0.6,  13.9,   2.7,  19.7,   2.9,   0.0,  60.2,  49.2,  50.7,   0.1
NA,NA,"",2024-25,Ashland - Ashland Middle,00140405,   0.1,  16.1,   3.8,  20.3,   4.4,   0.1,  55.2,  48.6,  51.2,   0.1
NA,NA,"",2024-25,Ashland - David Mindess,00140015,   0.1,  22.2,   3.1,  19.1,   3.9,   0.0,  51.5,  46.0,  53.7,   0.3
NA,NA,"",2024-25,Ashland - Henry E Warren Elementary,00140010,   0.2,  22.6,   2.9,  22.3,   3.8,   0.2,  48.1,  47.8,  52.2,   0.0
NA,NA,"",2024-25,Ashland - William Pittaway Elementary,00140005,   0.0,  38.4,   2.3,  17.4,   4.7,   0.0,  37.2,  48.8,  51.2,   0.0
NA,NA,"",2024-25,Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,   0.4,   0.4,   3.1,  34.4,   4.0,   0.1,  57.5,  45.5,  54.3,   0.3
NA,NA,"",2024-25,Athol-Royalston - Athol Community Elementary School,06150020,   0.0,   1.9,   2.5,  15.3,   4.4,   0.0,  75.9,  49.9,  50.1,   0.0
NA,NA,"",2024-25,Athol-Royalston - Athol High,06150505,   0.0,   1.9,   2.9,  19.2,   3.8,   0.0,  72.2,  44.1,  55.9,   0.0
NA,NA,"",2024-25,Athol-Royalston - Athol-Royalston Middle School,06150305,   0.0,   0.2,   3.1,  20.0,   4.7,   0.0,  72.0,  47.3,  52.7,   0.0
NA,NA,"",2024-25,Athol-Royalston - Royalston Community School,06150050,   0.0,   0.0,   0.0,   6.6,   2.6,   0.0,  90.8,  42.1,  57.9,   0.0
NA,NA,"",2024-25,Atlantis Charter (District) - Atlantis Charter School,04910550,   0.2,   2.1,   7.7,  20.5,   8.0,   0.1,  61.4,  52.0,  47.9,   0.1
NA,NA,"",2024-25,Attleboro - A. Irvin Studley Elementary School,00160001,   0.5,   4.0,  11.3,  18.8,   5.1,   0.3,  59.9,  44.4,  55.6,   0.0
NA,NA,"",2024-25,Attleboro - Attleboro Community Academy,00160515,   1.6,   3.1,   4.7,  10.9,  12.5,   0.0,  67.2,  46.9,  51.6,   1.6
NA,NA,"",2024-25,Attleboro - Attleboro High,00160505,   0.3,   5.0,  12.0,  18.9,   6.9,   0.1,  56.7,  46.0,  53.7,   0.3
NA,NA,"",2024-25,Attleboro - Attleboro Virtual Academy,00160705,   0.0,   2.6,   5.1,   7.7,   7.7,   0.0,  76.9,  12.8,  87.2,   0.0
NA,NA,"",2024-25,Attleboro - Cyril K. Brennan Middle School,00160315,   0.2,   3.2,  13.5,  21.4,   6.3,   0.0,  55.4,  51.1,  48.9,   0.0
NA,NA,"",2024-25,Attleboro - Early Learning Center,00160008,   1.2,   4.5,  15.6,  23.0,   4.9,   0.0,  50.8,  46.3,  53.7,   0.0
NA,NA,"",2024-25,Attleboro - Hill-Roberts Elementary School,00160045,   0.2,   7.8,   8.3,  20.9,   6.1,   0.0,  56.8,  45.4,  54.6,   0.0
NA,NA,"",2024-25,Attleboro - Hyman Fine Elementary School,00160040,   0.0,   3.2,   8.5,  24.4,   8.5,   0.2,  55.3,  49.8,  50.2,   0.0
NA,NA,"",2024-25,Attleboro - Peter Thacher Elementary School,00160050,   0.6,   5.4,  12.4,  22.3,   4.9,   0.0,  54.4,  46.3,  53.5,   0.2
NA,NA,"",2024-25,Attleboro - Robert J. Coelho Middle School,00160305,   0.2,   5.1,   8.5,  15.0,   6.3,   0.0,  65.0,  48.1,  51.9,   0.0
NA,NA,"",2024-25,Attleboro - Thomas Willett Elementary School,00160035,   0.8,   2.9,   8.8,  22.5,   6.4,   0.3,  58.2,  49.9,  50.1,   0.0
NA,NA,"",2024-25,Attleboro - Wamsutta Middle School,00160320,   0.0,   3.7,   9.4,  17.9,   8.6,   0.2,  60.2,  51.3,  48.7,   0.0
NA,NA,"",2024-25,Auburn - Auburn Middle,00170305,   0.0,   4.6,   4.5,  11.9,   2.7,   0.0,  76.3,  47.5,  52.4,   0.2
NA,NA,"",2024-25,Auburn - Auburn Senior High,00170505,   0.1,   6.5,   6.4,  13.5,   2.2,   0.0,  71.3,  52.0,  48.0,   0.0
NA,NA,"",2024-25,Auburn - Bryn Mawr,00170010,   0.0,   3.7,   6.2,  16.2,   0.4,   0.4,  73.0,  50.2,  49.8,   0.0
NA,NA,"",2024-25,Auburn - Pakachoag School,00170025,   0.8,   4.8,   9.2,  15.7,   1.6,   0.0,  67.9,  44.6,  55.0,   0.4
NA,NA,"",2024-25,Auburn - Swanson Road Intermediate School,00170030,   0.4,   3.6,   3.6,  13.2,   3.6,   0.2,  75.5,  49.5,  50.5,   0.0
NA,NA,"",2024-25,Avon - Avon Middle High School,00180510,   0.5,   4.2,  46.5,  14.2,   5.6,   0.0,  29.1,  47.9,  52.1,   0.0
NA,NA,"",2024-25,Avon - Ralph D Butler,00180010,   0.6,   4.3,  30.0,  17.0,   6.8,   0.0,  41.2,  49.5,  50.5,   0.0
