Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,% ELA,% Math,% Science and Technology,% Computer and Information Science,% History and Social Sciences,% Arts,% All Other Subjects,Ch 74 Secondary Cooperative Program
0.0,1,a-curv-i7,2024-25,Boston-Boston Adult Tech Academy,00350548,         250,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
1.1416361416361418,1.14,a-curv-i7,2024-25,Boston-Boston Arts Academy,00350546,         228,         156,  68.4,   9.6,  48.7,  12.3,   0.0,   1.3,   0.4,  21.5,   0.0
0.41407867494824013,1,a-curv-i7,2024-25,Boston-Boston Collaborative High School,00350755,         188,          24,  12.8,   0.5,  12.8,   0.0,   0.0,   0.5,   0.5,   0.0,   0.0
1.3139564336372846,1.31,a-curv-i7,2024-25,Boston-Boston International High School & Newcomers Academy,00350507,         193,          80,  41.5,   0.0,  30.6,   0.0,  15.5,  11.4,   0.0,   8.3,   0.0
-0.8147689768976896,1,a-curv-i7,2024-25,Boston-Boston Latin Academy,00350545,         558,         551,  98.7,  41.8,  90.7,  11.8,  17.7,  75.4,   0.0,  19.7,   0.0
-3.1875334403424294,1,a-curv-i7,2024-25,Boston-Boston Latin School,00350560,         784,         774,  98.7,  29.8,  93.9,  58.8,  21.9,  61.5,   5.5,  24.1,   0.0
1.39690556357223,1.4,a-curv-i7,2024-25,Boston-Brighton High School,00350505,         311,         251,  80.7,  15.1,  58.8,  44.1,   1.3,   5.5,   5.8,   4.8,   0.0
0.0,1,a-curv-i7,2024-25,Boston-Carter School,00350036,          15,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
0.308641975308642,1,a-curv-i7,2024-25,Boston-Charlestown High School,00350515,         399,         142,  35.6,  11.3,  20.3,   7.0,   4.0,  17.5,   0.0,   7.3,   0.0
0.0,1,a-curv-i7,2024-25,Boston-Community Academy,00350518,          29,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
1.2834821428571428,1.28,a-curv-i7,2024-25,Boston-Community Academy of Science and Health,00350581,         230,         118,  51.3,  17.4,  47.8,   7.4,   0.0,   6.1,   0.0,   2.6,   0.0
2.0524329950559457,2.05,a-curv-i7,2024-25,Boston-Dearborn 6-12 STEM Academy,00350074,         187,         118,  63.1,  22.5,  46.0,  16.0,   9.1,  16.0,   4.3,  13.4,   0.0
0.5333800186741363,1,a-curv-i7,2024-25,Boston-East Boston High School,00350530,         558,         506,  90.7,   9.7,  88.2,   7.7,  14.2,   3.9,   1.3,   2.9,   0.0
1.0496863416025093,1.05,a-curv-i7,2024-25,Boston-English High School,00350535,         341,         218,  63.9,   5.0,  47.8,   8.2,   5.3,   7.6,   0.0,  21.7,   0.0
1.8800813008130082,1.88,a-curv-i7,2024-25,Boston-Excel High School,00350522,         180,         113,  62.8,  31.7,  52.2,   2.8,  12.2,   0.0,  11.1,   0.0,   0.0
2.618269530034236,2.62,a-curv-i7,2024-25,Boston-Fenway High School,00350540,         161,         118,  73.3,  13.0,  46.6,   5.0,   0.6,  13.7,   0.0,  14.3,   0.0
NA,NA,a-curv-i7,2024-25,Boston-Greater Egleston High School,00350543,          45,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2.1035108958837774,2.1,a-curv-i7,2024-25,Boston-Henderson K-12 Inclusion School Upper,00350426,         126,          55,  43.7,  15.1,  43.7,  11.1,   0.0,   0.0,   0.0,   0.0,   0.0
36.09307359307359,5,a-curv-i7,2024-25,Boston-Horace Mann School for the Deaf Hard of Hearing,00350750,          12,           8,  66.7,   0.0,  66.7,   0.0,  33.3,   0.0,   0.0,   0.0,   0.0
8.831672203765226,5,a-curv-i7,2024-25,Boston-Lyon High School,00350655,          47,          30,  63.8,  27.7,  38.3,   6.4,   0.0,   0.0,   0.0,   0.0,   0.0
0.7376882376882377,1,a-curv-i7,2024-25,Boston-Madison Park Technical Vocational High School,00350537,         479,         302,  63.0,   7.7,  27.3,   6.1,   0.4,   4.6,   2.3,  43.0,  11.1
3.502591512795594,3.5,a-curv-i7,2024-25,Boston-Margarita Muniz Academy,00350549,         148,         128,  86.5,   0.7,  50.0,   0.0,   0.0,   0.0,   0.0,  36.5,   0.0
7.898351648351647,5,a-curv-i7,2024-25,Boston-McKinley Schools,00350363,          29,          10,  34.5,   0.0,  34.5,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
1.9568771714694457,1.96,a-curv-i7,2024-25,Boston-New Mission High School,00350542,         246,         218,  88.6,  34.6,  85.8,  21.5,   3.7,  19.1,   0.0,  11.8,   0.0
0.4590494975110359,1,a-curv-i7,2024-25,Boston-O'Bryant School of Math & Science,00350575,         566,         538,  95.1,  48.2,  77.2,  42.9,  16.3,  40.8,   0.0,   9.2,   0.0
5.044390637610976,5,a-curv-i7,2024-25,Boston-Quincy Upper School,00350565,         122,         122, 100.0, 100.0,  99.2,  99.2,  36.9,  99.2, 100.0,  99.2,   0.0
0.91683592868427,1,a-curv-i7,2024-25,Boston-Ruth Batson Academy,00350558,         220,          78,  35.5,  18.6,  26.8,   0.5,   0.0,   0.0,   0.0,   8.6,   0.0
2.3144790911288373,2.31,a-curv-i7,2024-25,Boston-Snowden International High School,00350690,         212,         192,  90.6,  44.8,  63.7,  43.4,   0.0,  44.8,  46.2,  79.2,   0.0
1.1040057915057915,1.1,a-curv-i7,2024-25,Boston-TechBoston Academy,00350657,         302,         184,  60.9,   6.0,  46.4,   6.3,   7.6,  14.2,   6.0,   0.0,   0.0
-3.435374149659864,1,a-curv-i7,2024-25,Bourne-Bourne High School,00360505,         160,         118,  73.8,  20.0,  62.5,  17.5,   3.1,  22.5,   0.0,   3.1,   0.0
-3.9935364727608493,1,a-curv-i7,2024-25,Braintree-Braintree High,00400505,         838,         602,  71.8,   8.9,  69.7,  22.6,   5.7,  34.1,   2.4,   5.8,   0.0
-7.963320463320464,1,a-curv-i7,2024-25,Bridgewater-Raynham-Bridgewater-Raynham Regional,06250505,         764,         474,  62.0,  25.4,  50.5,  20.3,   3.9,  13.7,   0.8,   0.0,   0.0
NA,NA,a-curv-i7,2024-25,Bridgewater-Raynham-Therapeutic Day School,06250415,           3,"","","","","","","","","",""
-6.528103044496487,1,a-curv-i7,2024-25,Bristol County Agricultural-Bristol County Agricultural High,09100705,         309,         124,  40.1,   0.0,  19.4,  26.9,   0.3,   0.0,   0.0,   0.0,   5.8
-16.984463276836156,1,a-curv-i7,2024-25,Bristol-Plymouth Regional Vocational Technical-Bristol-Plymouth Vocational Technical,08100605,         647,         500,  77.3,  28.1,  25.8,   0.0,   0.0,   0.0,   0.0,  42.3,  38.0
2.1500721500721496,2.15,a-curv-i7,2024-25,Brockton-Brockton High,00440505,"       1,743",         913,  52.4,  15.9,  38.0,  10.9,   3.4,  13.3,   2.5,  13.9,   0.0
40.029761904761905,5,a-curv-i7,2024-25,Brockton-Brockton Therapeutic Day School,00440400,          13,           7,  53.8,   0.0,   0.0,   0.0,   0.0,  53.8,   0.0,   0.0,   0.0
3.2509157509157505,3.25,a-curv-i7,2024-25,Brockton-Brockton Virtual Learning Academy,00440705,          33,           5,  15.2,   0.0,  15.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
0.0,1,a-curv-i7,2024-25,Brockton-Champion High School,00440535,          86,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
0.0,1,a-curv-i7,2024-25,Brockton-Edison Evening Academy,00440520,         262,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
10.691391941391942,5,a-curv-i7,2024-25,Brockton-PROMISE College and Career Academy,00440525,          30,          14,  46.7,   0.0,  30.0,  30.0,  33.3,  33.3,   0.0,  40.0,   0.0
2.717512238540276,2.72,a-curv-i7,2024-25,Brooke Charter School (District)-Brooke Charter School,04280305,         219,         214,  97.7,  52.5,  70.3,  68.9,  49.3,  17.8,   0.0,  18.7,   0.0
4.630785880785881,4.63,a-curv-i7,2024-25,Brookline-Brookline High,00460505,"       1,067",         992,  93.0,   0.0,  91.1,  56.4,   5.6,  25.9,   2.2,  12.7,   0.0
-3.2780013413816227,1,a-curv-i7,2024-25,Burlington-Burlington High,00480505,         453,         311,  68.7,  41.3,  55.4,  33.8,  16.3,  32.5,   0.9,   4.0,   0.0
3.8156702898550723,3.82,a-curv-i7,2024-25,Cambridge-Cambridge Rindge and Latin,00490506,"       1,022",         757,  74.1,  29.5,  58.3,  33.9,   9.3,  41.8,   4.2,   8.7,   1.7
-4.72052457346575,1,a-curv-i7,2024-25,Canton-Canton High,00500505,         487,         349,  71.7,  27.9,  58.9,  26.1,   2.5,  38.4,   1.0,   6.4,   0.0
-15.515873015873016,1,a-curv-i7,2024-25,Cape Cod Regional Vocational Technical-Cape Cod Region Vocational Technical,08150605,         319,         305,  95.6,  16.0,  15.0,   0.0,   0.0,  14.4,   0.0,  93.4,  48.6
-11.082766439909296,1,a-curv-i7,2024-25,Carver-Carver Middle/High School,00520405,         172,         122,  70.9,  12.2,  59.9,  16.3,  11.0,  17.4,   0.0,   0.0,   0.0
-32.579365079365076,1,a-curv-i7,2024-25,Central Berkshire-Wahconah Regional High,06350505,         226,         167,  73.9,  18.1,  63.7,  18.6,   0.9,  18.6,   5.3,   7.5,   0.0
-7.805524553571428,1,a-curv-i7,2024-25,Chelmsford-Chelmsford High,00560505,         698,         686,  98.3,  84.4,  62.9,  64.6,  10.5,  81.5,  10.9,  67.2,   0.0
0.27706277706277704,1,a-curv-i7,2024-25,Chelsea-Chelsea High,00570505,         711,         462,  65.0,  38.4,  39.5,  18.7,   2.7,  24.5,   2.3,  21.7,   0.0
0.5575647980711271,1,a-curv-i7,2024-25,Chelsea-Chelsea Opportunity Academy,00570515,          81,           6,   7.4,   0.0,   0.0,   7.4,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-curv-i7,2024-25,Chelsea-Chelsea Virtual Learning Academy,00570705,          29,           5,  17.2,   3.4,   6.9,   0.0,   0.0,   3.4,   0.0,   6.9,   0.0
3.594322344322344,3.59,a-curv-i7,2024-25,Chicopee-Chicopee Academy,00610021,          42,           7,  16.7,   0.0,  14.3,   0.0,   0.0,   2.4,   2.4,   0.0,   0.0
-3.199981543004798,1,a-curv-i7,2024-25,Chicopee-Chicopee Comprehensive High School,00610510,         576,         290,  50.3,  10.2,  25.7,   5.9,   1.7,  12.7,   0.0,  25.9,   1.4
-0.7455113192818111,1,a-curv-i7,2024-25,Chicopee-Chicopee High,00610505,         454,         294,  64.8,  17.6,  35.2,   6.6,   6.2,  27.1,   0.0,  28.2,   0.0
5.099502487562189,5,a-curv-i7,2024-25,City on a Hill Charter Public School (District)-City on a Hill Charter Public School,04370505,          68,          39,  57.4,  16.2,  57.4,   0.0,   0.0,  16.2,   0.0,   0.0,   0.0
-1.5173692427790788,1,a-curv-i7,2024-25,Clinton-Clinton Senior High,00640505,         272,         133,  48.9,  21.7,  40.4,  16.9,   9.2,  12.5,   0.0,   4.0,   0.0
NA,NA,a-curv-i7,2024-25,Codman Academy Charter Public (District)-Codman Academy Charter Public School,04380505,          65,          55,  84.6,  35.4,  75.4,  15.4,  16.9,   0.0,   0.0,   0.0,   0.0
-38.78205128205128,1,a-curv-i7,2024-25,Cohasset-Cohasset High School,00650505,         207,         187,  90.3,  74.9,  74.9,  20.3,   0.0,  43.0,   0.0,   3.9,   0.0
2.929894179894179,2.93,a-curv-i7,2024-25,Collegiate Charter School of Lowell (District)-Collegiate Charter School of Lowell,35030205,         115,          67,  58.3,  16.5,  34.8,  26.1,   0.0,  15.7,  12.2,   7.0,   0.0
7.871510673234811,5,a-curv-i7,2024-25,Community Charter School of Cambridge (District)-Community Charter School of Cambridge,04360305,          60,          46,  76.7,  20.0,  65.0,  25.0,  26.7,  21.7,   0.0,   1.7,   0.0
-9.50013528138528,1,a-curv-i7,2024-25,Concord-Carlisle-Concord Carlisle High,06400505,         634,         495,  78.1,   9.0,  74.9,  26.7,   0.0,   1.1,   1.9,   6.5,   0.0
-10.557299843014128,1,a-curv-i7,2024-25,Danvers-Danvers High,00710505,         377,         304,  80.6,  17.5,  56.0,  55.7,   6.9,  41.9,   6.4,   1.6,   0.0
-12.043049543049543,1,a-curv-i7,2024-25,Dartmouth-Dartmouth High,00720505,         471,         352,  74.7,  28.0,  60.1,  19.1,   3.4,  24.8,   4.2,   3.2,   0.0
-5.500184569952012,1,a-curv-i7,2024-25,Dedham-Dedham High,00730505,         380,         250,  65.8,  14.5,  56.6,  26.1,   5.3,  28.9,   3.4,   5.5,   0.0
-2.6920995670995667,1,a-curv-i7,2024-25,Dennis-Yarmouth-Dennis-Yarmouth Regional High,06450505,         382,         246,  64.4,  21.5,  42.4,  20.2,   9.9,  34.0,   4.7,   0.0,   0.0
-11.160714285714285,1,a-curv-i7,2024-25,Dighton-Rehoboth-Dighton-Rehoboth Regional High School,06500505,         319,         174,  54.5,  18.5,  47.6,  11.0,   6.9,  17.9,   2.2,   0.0,   0.0
-7.142857142857142,1,a-curv-i7,2024-25,Douglas-Douglas High School,00770505,         134,          75,  56.0,  23.1,  46.3,  37.3,   0.7,  29.1,   0.7,   3.7,   0.0
-6.199056199056199,1,a-curv-i7,2024-25,Dover-Sherborn-Dover-Sherborn Regional High,06550505,         332,         310,  93.4,  43.4,  91.0,  43.4,  10.5,  56.3,   3.3,   6.3,   0.0
-3.6316609977324266,1,a-curv-i7,2024-25,Dracut-Dracut Senior High,00790505,         422,         247,  58.5,  20.1,  45.5,  19.9,   0.0,  11.1,   0.0,   6.6,   0.0
-12.599206349206348,1,a-curv-i7,2024-25,Dudley-Charlton Reg-Shepherd Hill Regional High,06580505,         450,         271,  60.2,  16.4,  38.2,  40.0,   5.6,   7.3,   0.2,   0.7,   0.0
-47.67316017316018,1,a-curv-i7,2024-25,Duxbury-Duxbury High,00820505,         427,         383,  89.7,  42.4,  82.2,  20.8,  19.7,  54.8,   2.6,   6.1,   0.0
-7.296466973886329,1,a-curv-i7,2024-25,East Bridgewater-East Bridgewater JR./SR. High School,00830505,         274,         170,  62.0,  27.0,  51.5,  14.6,   5.1,   2.2,   1.8,   0.0,   0.0
-8.685355862775216,1,a-curv-i7,2024-25,East Longmeadow-East Longmeadow High,00870505,         372,         284,  76.3,  28.0,  64.0,  21.5,   6.2,  25.3,   0.0,   3.0,   0.0
-2.5917658730158726,1,a-curv-i7,2024-25,Easthampton-Easthampton High,00860505,         171,          96,  56.1,  50.9,  11.7,   3.5,   0.0,   7.6,   0.0,   7.0,   0.0
-10.464376590330788,1,a-curv-i7,2024-25,Easton-Oliver Ames High,00880505,         538,         375,  69.7,  13.4,  58.4,  27.0,   1.5,  38.8,   0.9,   4.1,   0.0
