Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total
NA,NA,"",2016-17,Boston - Haynes Early Education Center,00350010,      47,      72,      68,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     187
NA,NA,"",2016-17,Boston - Henry Grew,00350135,      20,      44,      37,      41,      32,      37,      28,       0,       0,       0,       0,       0,       0,       0,       0,     239
NA,NA,"",2016-17,Boston - Higginson,00350015,      28,      45,      50,      50,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     173
NA,NA,"",2016-17,Boston - Higginson/Lewis K-8,00350377,       0,       2,       3,      56,      79,      78,      39,      22,      47,      29,       0,       0,       0,       0,       0,     355
NA,NA,"",2016-17,Boston - Horace Mann School for the Deaf,00350750,       6,       8,       5,       9,       0,       9,       2,       6,       7,       3,      10,      10,       6,       7,       2,      90
NA,NA,"",2016-17,Boston - Hugh Roe O'Donnell,00350141,      19,      40,      40,      42,      44,      39,      48,       0,       0,       0,       0,       0,       0,       0,       0,     272
NA,NA,"",2016-17,Boston - Jackson Mann,00350013,      48,      91,      87,      80,      84,      94,      79,      69,      57,      76,       0,       0,       0,       0,       0,     765
NA,NA,"",2016-17,Boston - James Condon Elementary,00350146,      39,      76,      84,     100,     109,     131,     127,     115,      65,       0,       0,       0,       0,       0,       0,     846
NA,NA,"",2016-17,Boston - James J Chittick,00350154,      42,      50,      45,      42,      42,      52,      23,       0,       0,       0,       0,       0,       0,       0,       0,     296
NA,NA,"",2016-17,Boston - James Otis,00350156,      49,      59,      58,      61,      63,      62,      46,       0,       0,       0,       0,       0,       0,       0,       0,     398
NA,NA,"",2016-17,Boston - James P Timilty Middle,00350485,       0,       0,       0,       0,       0,       0,       0,      99,     117,     155,       0,       0,       0,       0,       0,     371
