Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded
4.0,4.0,a-degr-i1,2021-22,Boston - Margarita Muniz Academy,00350549,        75,    80.0,     5.3,     0.0,     2.7,    12.0,     0.0
1.8350000000000002,1.84,a-degr-i1,2021-22,Boston - McKinley Schools,00350363,        30,    36.7,    26.7,     0.0,     0.0,    36.7,     0.0
4.6850000000000005,4.69,a-degr-i1,2021-22,Boston - New Mission High School,00350542,        79,    93.7,     6.3,     0.0,     0.0,     0.0,     0.0
4.945,4.95,a-degr-i1,2021-22,Boston - O'Bryant School of Math & Science,00350575,       279,    98.9,     0.4,     0.0,     0.4,     0.4,     0.0
4.82,4.82,a-degr-i1,2021-22,Boston - Quincy Upper School,00350565,        56,    96.4,     1.8,     0.0,     0.0,     1.8,     0.0
4.01,4.01,a-degr-i1,2021-22,Boston - Snowden International High School,00350690,       106,    80.2,    10.4,     0.0,     1.9,     7.5,     0.0
4.515,4.52,a-degr-i1,2021-22,Boston - TechBoston Academy,00350657,       124,    90.3,     0.8,     0.0,     0.0,     8.9,     0.0
4.5649999999999995,4.56,a-degr-i1,2021-22,Boston Collegiate Charter (District) - Boston Collegiate Charter School,04490305,        80,    91.3,     7.5,     0.0,     0.0,     1.3,     0.0
0.27,1,a-degr-i1,2021-22,Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,04240505,       112,     5.4,    62.5,     0.0,     1.8,    30.4,     0.0
4.305,4.31,a-degr-i1,2021-22,Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,04110305,        72,    86.1,     9.7,     0.0,     0.0,     4.2,     0.0
4.3950000000000005,4.4,a-degr-i1,2021-22,Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,04160305,        66,    87.9,    10.6,     1.5,     0.0,     0.0,     0.0
4.8149999999999995,4.81,a-degr-i1,2021-22,Bourne - Bourne High School,00360505,       109,    96.3,     0.0,     0.0,     0.0,     3.7,     0.0
4.745,4.75,a-degr-i1,2021-22,Braintree - Braintree High,00400505,       430,    94.9,     1.2,     1.9,     0.0,     2.1,     0.0
4.755,4.76,a-degr-i1,2021-22,Bridgewater-Raynham - Bridgewater-Raynham Regional,06250505,       365,    95.1,     2.2,     0.0,     0.0,     2.5,     0.3
4.9,4.9,a-degr-i1,2021-22,Bristol County Agricultural - Bristol County Agricultural High,09100705,       100,    98.0,     0.0,     0.0,     0.0,     2.0,     0.0
4.8149999999999995,4.81,a-degr-i1,2021-22,Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,08100605,       322,    96.3,     0.3,     0.0,     0.6,     2.8,     0.0
2.285,2.29,a-degr-i1,2021-22,Brockton - Brockton Champion High School,00440515,        35,    45.7,    25.7,     8.6,     0.0,    20.0,     0.0
4.3100000000000005,4.31,a-degr-i1,2021-22,Brockton - Brockton High,00440505,       780,    86.2,     5.8,     1.0,     0.1,     6.9,     0.0
4.720000000000001,4.72,a-degr-i1,2021-22,Brockton - Brockton Virtual Learning Academy,00440705,        18,    94.4,     5.6,     0.0,     0.0,     0.0,     0.0
3.3,3.3,a-degr-i1,2021-22,Brockton - Edison Academy,00440520,       285,    66.0,    16.8,     2.5,     0.0,    14.7,     0.0
3.5,3.5,a-degr-i1,2021-22,Brockton - Huntington Therapeutic Day School,00440400,        10,    70.0,    20.0,     0.0,     0.0,    10.0,     0.0
4.64,4.64,a-degr-i1,2021-22,Brooke Charter School (District) - Brooke Charter School,04280305,        69,    92.8,     4.3,     0.0,     1.4,     1.4,     0.0
4.765,4.77,a-degr-i1,2021-22,Brookline - Brookline High,00460505,       512,    95.3,     3.3,     0.2,     0.0,     1.2,     0.0
4.795,4.8,a-degr-i1,2021-22,Burlington - Burlington High,00480505,       244,    95.9,     2.9,     0.0,     0.4,     0.8,     0.0
4.63,4.63,a-degr-i1,2021-22,Cambridge - Cambridge Rindge and Latin,00490506,       486,    92.6,     4.7,     0.2,     0.0,     2.5,     0.0
4.9,4.9,a-degr-i1,2021-22,Canton - Canton High,00500505,       252,    98.0,     1.2,     0.0,     0.4,     0.4,     0.0
4.665,4.67,a-degr-i1,2021-22,Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,08150605,       134,    93.3,     3.0,     0.0,     0.0,     3.7,     0.0
4.575,4.58,a-degr-i1,2021-22,Carver - Carver Middle/High School,00520405,        71,    91.5,     4.2,     2.8,     0.0,     1.4,     0.0
4.83,4.83,a-degr-i1,2021-22,Central Berkshire - Wahconah Regional High,06350505,       116,    96.6,     0.0,     0.0,     0.9,     2.6,     0.0
4.8950000000000005,4.9,a-degr-i1,2021-22,Chelmsford - Chelmsford High,00560505,       339,    97.9,     1.2,     0.6,     0.0,     0.3,     0.0
3.815,3.82,a-degr-i1,2021-22,Chelsea - Chelsea High,00570505,       299,    76.3,     7.7,     0.0,     0.3,    15.7,     0.0
0.795,1,a-degr-i1,2021-22,Chelsea - Chelsea Opportunity Academy,00570515,        44,    15.9,    59.1,     0.0,     0.0,    25.0,     0.0
3.0,3.0,a-degr-i1,2021-22,Chelsea - Chelsea Virtual Learning Academy,00570705,        10,    60.0,    40.0,     0.0,     0.0,     0.0,     0.0
0.645,1,a-degr-i1,2021-22,Chicopee - Chicopee Academy,00610021,        31,    12.9,    48.4,     0.0,     0.0,    38.7,     0.0
4.59,4.59,a-degr-i1,2021-22,Chicopee - Chicopee Comprehensive High School,00610510,       231,    91.8,     2.6,     0.9,     0.4,     4.3,     0.0
4.4799999999999995,4.48,a-degr-i1,2021-22,Chicopee - Chicopee High,00610505,       251,    89.6,     1.2,     0.4,     0.8,     8.0,     0.0
2.9050000000000002,2.91,a-degr-i1,2021-22,City on a Hill Charter Public School (District) - City on a Hill Charter Public School,04370505,        62,    58.1,    27.4,     0.0,     0.0,    14.5,     0.0
4.6850000000000005,4.69,a-degr-i1,2021-22,Clinton - Clinton Senior High,00640505,       111,    93.7,     0.0,     0.9,     0.0,     5.4,     0.0
4.665,4.67,a-degr-i1,2021-22,Codman Academy Charter Public (District) - Codman Academy Charter Public School,04380505,        30,    93.3,     3.3,     0.0,     0.0,     3.3,     0.0
5.0,5.0,a-degr-i1,2021-22,Cohasset - Cohasset High School,00650505,       100,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
5.0,5.0,a-degr-i1,2021-22,Community Charter School of Cambridge (District) - Community Charter School of Cambridge,04360305,        44,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
4.955,4.96,a-degr-i1,2021-22,Concord-Carlisle - Concord Carlisle High,06400505,       326,    99.1,     0.9,     0.0,     0.0,     0.0,     0.0
4.635,4.64,a-degr-i1,2021-22,Danvers - Danvers High,00710505,       205,    92.7,     3.4,     0.0,     1.0,     2.9,     0.0
4.765,4.77,a-degr-i1,2021-22,Dartmouth - Dartmouth High,00720505,       276,    95.3,     1.4,     0.0,     0.0,     3.3,     0.0
4.625,4.63,a-degr-i1,2021-22,Dedham - Dedham High,00730505,       173,    92.5,     4.0,     0.0,     0.0,     3.5,     0.0
4.3950000000000005,4.4,a-degr-i1,2021-22,Dennis-Yarmouth - Dennis-Yarmouth Regional High,06450505,       173,    87.9,     6.4,     0.6,     0.0,     5.2,     0.0
4.755,4.76,a-degr-i1,2021-22,Dighton-Rehoboth - Dighton-Rehoboth Regional High School,06500505,       182,    95.1,     1.1,     0.0,     0.0,     3.8,     0.0
4.6049999999999995,4.6,a-degr-i1,2021-22,Douglas - Douglas High School,00770505,        89,    92.1,     2.2,     1.1,     1.1,     3.4,     0.0
4.9399999999999995,4.94,a-degr-i1,2021-22,Dover-Sherborn - Dover-Sherborn Regional High,06550505,       161,    98.8,     0.6,     0.0,     0.0,     0.6,     0.0
4.8100000000000005,4.81,a-degr-i1,2021-22,Dracut - Dracut Senior High,00790505,       236,    96.2,     1.7,     0.0,     0.4,     1.7,     0.0
4.725,4.73,a-degr-i1,2021-22,Dudley-Charlton Reg - Shepherd Hill Regional High,06580505,       253,    94.5,     3.2,     0.0,     0.0,     2.4,     0.0
4.89,4.89,a-degr-i1,2021-22,Duxbury - Duxbury High,00820505,       228,    97.8,     1.3,     0.0,     0.0,     0.9,     0.0
4.8149999999999995,4.81,a-degr-i1,2021-22,East Bridgewater - East Bridgewater JR./SR. High School,00830505,       162,    96.3,     1.2,     0.0,     0.0,     2.5,     0.0
4.904999999999999,4.9,a-degr-i1,2021-22,East Longmeadow - East Longmeadow High,00870505,       208,    98.1,     1.9,     0.0,     0.0,     0.0,     0.0
4.42,4.42,a-degr-i1,2021-22,Easthampton - Easthampton High,00860505,       112,    88.4,     5.4,     0.0,     0.0,     6.3,     0.0
4.805,4.81,a-degr-i1,2021-22,Easton - Oliver Ames High,00880505,       283,    96.1,     2.5,     0.4,     0.0,     1.1,     0.0
5.0,5.0,a-degr-i1,2021-22,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520505,        84,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
4.9350000000000005,4.94,a-degr-i1,2021-22,Essex North Shore Agricultural and Technical School District - Essex North Shore Agricultural and Technical School,08170505,       376,    98.7,     0.3,     0.0,     0.5,     0.5,     0.0
4.1049999999999995,4.1,a-degr-i1,2021-22,Everett - Everett High,00930505,       537,    82.1,     6.7,     0.2,     0.0,    11.0,     0.0
4.9350000000000005,4.94,a-degr-i1,2021-22,Excel Academy Charter (District) - Excel Academy Charter School,04100205,       158,    98.7,     0.6,     0.0,     0.6,     0.0,     0.0
4.62,4.62,a-degr-i1,2021-22,Fairhaven - Fairhaven High,00940505,       158,    92.4,     1.9,     0.0,     0.0,     5.7,     0.0
4.29,4.29,a-degr-i1,2021-22,Fall River - B M C Durfee High,00950505,       537,    85.8,     4.1,     0.0,     0.7,     9.3,     0.0
2.19,2.19,a-degr-i1,2021-22,Fall River - Resiliency Preparatory Academy,00950525,        89,    43.8,     7.9,     1.1,     5.6,    41.6,     0.0
3.335,3.34,a-degr-i1,2021-22,Fall River - Stone PK-12 School,00950340,         6,    66.7,    16.7,     0.0,     0.0,    16.7,     0.0
4.43,4.43,a-degr-i1,2021-22,Falmouth - Falmouth High,00960505,       211,    88.6,     2.4,     0.0,     0.9,     8.1,     0.0
4.68,4.68,a-degr-i1,2021-22,Fitchburg - Fitchburg High,00970505,       234,    93.6,     1.3,     0.0,     0.9,     4.3,     0.0
3.7399999999999998,3.74,a-degr-i1,2021-22,Fitchburg - Goodrich Academy,00970510,       147,    74.8,    12.2,     2.0,     0.0,    10.9,     0.0
4.595000000000001,4.6,a-degr-i1,2021-22,Four Rivers Charter Public (District) - Four Rivers Charter Public School,04130505,        37,    91.9,     0.0,     0.0,     5.4,     2.7,     0.0
4.7700000000000005,4.77,a-degr-i1,2021-22,Foxborough - Foxborough High,00990505,       196,    95.4,     2.6,     0.0,     0.5,     1.5,     0.0
4.88,4.88,a-degr-i1,2021-22,Foxborough Regional Charter (District) - Foxborough Regional Charter School,04460550,        83,    97.6,     2.4,     0.0,     0.0,     0.0,     0.0
4.38,4.38,a-degr-i1,2021-22,Framingham - Framingham High School,01000515,       588,    87.6,     3.9,     0.3,     0.2,     7.8,     0.2
4.35,4.35,a-degr-i1,2021-22,Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,04780505,        54,    87.0,     9.3,     0.0,     1.9,     1.9,     0.0
4.885,4.89,a-degr-i1,2021-22,Franklin - Franklin High,01010505,       437,    97.7,     1.4,     0.0,     0.0,     0.9,     0.0
