RecordedDate,ResponseId,UserLanguage,District,school,dist & school concat,DESE ID,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q1,t-qupd-q2,t-qupd-q3,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-sach-q1,t-sach-q2,t-sach-q3,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3
2020-01-14T12:17:0,R_xnja1W0U3jPKKHv,EN,6,7,67,03440505,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
2020-01-15T6:22:0,R_Df1WHYUSZqGMrfP,EN,6,7,67,03440505,4,4,4,4,4,4,3,3,5,3,5,4,4,4,1,3,2,4,2,3,3,3,,,,NA,NA,,3,4,4,3,4,4,4,3,3,4,3,4,3,4,4,3,2,4,5,4,4,4,3,4,3,2,5,5,3,3,3,4,4,4,4,4,4,4,3,3,3,3
2020-01-15T10:57:0,R_VPeUQfxi668UESJ,EN,6,7,67,03440505,5,5,5,5,4,5,4,3,5,4,5,4,3,4,4,4,4,3,4,5,5,5,4,3,4,NA,NA,,4,3,5,4,4,4,5,3,3,3,4,5,5,3,4,3,3,4,5,5,2,3,3,2,3,4,3,3,3,4,4,5,4,4,3,3,4,4,4,5,4,5
2019-12-03T10:24:0,R_1K1P1JVmtlXVwJj,EN,6,7,67,03440505,4,4,5,4,3,3,1,1,5,5,5,2,2,2,2,1,1,5,1,2,2,2,1,1,2,3,3,4,4,4,4,4,4,3,5,2,3,3,4,5,3,3,3,3,4,5,3,4,2,1,1,1,2,3,3,1,4,4,3,4,4,3,3,3,3,3,3,5,2,3
2020-01-14T14:3:0,R_C7xNqM4Q7iHjn5T,EN,6,7,67,03440505,5,5,4,3,3,5,4,5,5,5,5,5,3,4,4,5,4,3,3,5,5,5,5,5,5,3,3,4,4,4,5,4,3,2,5,5,5,5,5,5,4,5,4,4,4,4,5,4,3,4,3,5,5,4,4,3,4,4,3,3,5,5,5,3,3,4,4,5,3,5
2020-01-07T12:47:0,R_1LRkZMJMIWrliPf,EN,6,7,67,03440505,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3
2020-01-07T12:38:0,R_qyjEIBvE6S7NrON,EN,6,7,67,03440505,5,5,5,3,2,4,2,2,5,4,5,4,2,1,2,2,4,3,3,2,2,2,3,3,2,3,3,3,3,4,4,4,3,2,5,5,5,3,3,4,5,3,3,3,4,4,5,3,3,3,3,3,5,4,4,2,3,4,3,3,4,4,4,3,3,4,3,5,4,5
2020-01-07T12:30:0,R_3QMDccRCw0gwg7I,EN,6,7,67,03440505,5,4,5,4,5,5,4,2,5,4,4,4,2,1,3,2,4,4,4,3,3,5,3,4,4,3,2,4,4,4,4,3,4,3,5,4,4,3,3,5,5,3,5,3,4,5,5,4,3,3,3,3,5,2,2,1,3,5,3,4,3,4,3,3,4,4,5,5,5,5
2020-01-07T13:18:0,R_2atLAQMl57MHCnO,EN,6,7,67,03440505,5,5,4,3,3,5,4,2,4,4,4,4,2,2,2,2,2,2,3,3,3,4,3,2,2,3,4,3,3,3,3,3,4,3,4,5,5,3,4,5,,,3,4,4,4,4,3,4,4,4,4,2,,,,3,3,,3,4,4,3,4,3,3,,,,
2020-01-07T14:0:0,R_3k1YyAdGcJQonMF,EN,6,7,67,03440505,4,4,4,4,3,2,2,3,4,4,4,3,3,1,2,2,2,2,2,3,2,4,4,4,3,3,4,4,3,4,4,3,4,3,3,4,4,3,2,4,4,2,4,4,4,4,4,3,3,3,4,4,4,4,4,2,4,3,3,3,4,3,4,4,4,5,3,5,5,5
2020-01-07T13:49:0,R_3HFkOY2dAL8FzT5,EN,6,7,67,03440505,5,5,5,3,3,4,4,4,5,5,5,5,4,3,5,5,3,3,3,4,5,4,4,4,4,3,3,4,3,3,4,4,5,3,5,4,4,4,3,4,4,2,4,4,5,5,5,3,3,3,3,3,5,5,5,5,3,5,3,3,4,5,5,3,3,3,5,5,5,5
2020-01-07T13:11:0,R_4HDumy694t58ODT,EN,6,7,67,03440505,5,5,5,2,2,2,1,1,5,5,5,5,1,1,4,2,1,1,1,2,1,3,4,2,2,2,2,2,3,3,3,2,4,2,3,1,4,4,4,5,3,5,3,3,2,4,3,3,5,5,4,5,5,3,3,2,1,3,1,3,2,3,2,3,3,2,3,5,3,5
2020-01-07T15:36:0,R_3Oqyup6jwIFIKvU,EN,6,7,67,03440505,5,5,5,4,4,5,4,3,5,4,4,5,2,1,1,2,3,3,5,3,3,2,3,4,3,3,3,4,4,5,4,4,5,4,5,4,3,3,4,5,3,5,4,4,5,4,5,4,3,3,3,3,4,2,2,1,4,4,3,4,5,5,5,4,4,5,3,5,3,5
2020-01-07T12:32:0,R_2ci02HQS5yU2RYg,EN,6,7,67,03440505,5,4,4,5,4,5,4,4,4,4,4,4,2,3,2,3,2,3,3,4,4,4,3,3,4,3,3,3,4,4,4,4,5,3,4,4,4,3,4,4,4,2,4,3,5,4,5,4,4,4,4,4,5,4,4,2,3,4,2,3,4,4,4,4,4,4,4,5,4,5
2020-01-07T14:0:0,R_32LKMOhZwWhkoe5,EN,6,7,67,03440505,5,5,4,5,3,4,3,2,5,4,5,5,3,3,3,3,4,4,4,3,2,2,3,3,3,3,3,4,3,4,4,4,5,4,5,5,3,3,4,5,3,3,4,4,5,5,5,4,3,3,3,4,3,5,5,5,2,4,2,4,5,5,5,4,4,4,2,4,4,5
2020-01-07T12:56:0,R_1lbBgShvl1wyiFC,EN,6,7,67,03440505,5,5,4,5,5,4,4,3,4,3,5,3,4,5,5,5,5,5,5,4,3,3,5,5,3,3,3,3,4,5,4,4,5,3,4,5,5,5,4,5,4,4,4,4,4,5,5,5,3,1,5,2,5,3,3,2,5,5,5,5,5,5,5,4,5,5,4,5,4,5
2020-01-07T14:42:0,R_1qhexeVUDmAwLP2,EN,6,7,67,03440505,4,4,4,4,3,5,4,4,4,5,4,3,4,4,4,5,4,2,3,4,4,4,4,5,3,1,1,2,3,3,3,3,4,3,5,3,4,4,3,4,1,3,2,1,5,2,4,3,5,5,5,5,5,5,4,3,1,3,2,4,3,3,3,4,4,4,3,3,3,3
2020-01-09T7:54:0,R_aWyz2ZkrRXe2zQd,EN,6,7,67,03440505,3,4,4,4,2,5,2,2,2,2,2,2,4,4,4,2,3,3,1,3,1,2,3,2,4,4,4,4,3,3,4,4,4,3,2,3,2,2,3,4,2,2,3,3,2,2,4,4,3,3,3,3,1,3,4,1,3,4,3,4,3,3,3,2,1,2,1,1,1,1
2020-01-07T12:44:0,R_3CZ8xv8qjvnA7HS,EN,6,7,67,03440505,5,5,4,2,4,4,3,1,3,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,3,2,2,2,3,3,2,3,5,4,4,3,4,4,4,5,4,5
2020-01-07T14:8:0,R_1pKCjKPwtisyplK,EN,6,7,67,03440505,5,5,4,5,5,4,4,2,4,4,4,4,3,4,4,4,3,4,3,3,3,3,4,4,3,3,3,4,3,3,3,3,4,4,4,4,3,3,3,4,4,3,4,3,4,4,5,4,4,4,4,4,3,3,3,2,3,4,4,4,4,4,4,4,4,4,5,5,3,4
2020-01-07T13:53:0,R_33r27hUFl5a9ZtM,EN,6,7,67,03440505,4,5,5,4,4,4,3,2,5,4,3,4,4,3,2,4,3,3,3,4,4,4,4,4,4,3,2,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,2,3,3,4,4,4,3,3,4,3,4,4,4,3,3,4,4,3,5,3,4
2020-01-13T11:17:0,R_VWpHpebkXmpWHZL,EN,6,7,67,03440505,5,5,5,3,3,3,2,2,5,4,4,5,4,3,3,3,3,3,3,1,2,1,2,2,2,2,3,3,,3,4,3,3,3,3,4,4,3,3,4,2,2,2,2,4,4,5,4,4,4,4,4,3,3,3,1,2,3,2,3,4,4,4,2,3,4,3,4,3,4
2020-01-07T12:44:0,R_1dyQWw7bdtApzDJ,EN,6,7,67,03440505,5,5,5,3,3,5,3,4,5,5,5,5,4,3,4,3,3,4,3,4,5,4,3,4,4,3,3,4,3,4,3,4,5,4,5,4,5,4,4,4,4,3,4,4,4,5,5,5,4,4,4,4,5,1,2,1,3,3,3,4,3,5,4,5,5,4,3,4,3,5
2020-01-07T14:1:0,R_BJ7deVZJ51blEpb,EN,6,7,67,03440505,5,5,4,4,3,5,2,3,4,4,4,4,4,3,3,3,5,5,4,5,5,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,5,4,2,3,3,4,4,4,4,3,3,3,3,5,3,3,3,4,4,3,3,4,4,4,3,3,3,4,4,4,4
2020-01-07T14:2:0,R_USd3Np9afZL1L6F,EN,6,7,67,03440505,5,5,5,4,4,4,3,2,4,4,4,5,4,4,4,4,4,5,5,4,4,5,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,3,1,4,5,4,3,3,4,4,4,4,3,2,4,4,5,4,4,2,4,3,3,5,5,1,1,4,4,4,4,4,5,5
2020-01-07T14:3:0,R_BJT8YI0fJxPTY1r,EN,6,7,67,03440505,4,4,4,2,4,2,2,1,4,4,4,3,2,3,3,2,2,2,3,2,2,3,3,2,2,3,3,3,3,4,4,3,4,4,5,3,5,3,5,4,4,3,4,4,4,4,5,4,4,4,2,2,3,3,4,4,3,4,4,4,4,4,4,4,3,3,4,5,3,5
2020-01-07T14:2:0,R_2P1F0MsQpAOI7pp,EN,6,7,67,03440505,5,4,5,5,5,4,4,3,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,3,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,3,5,5,5,4,3,3,5,4,5,4,2,4,5,4,4,5,1,1,5,3,3,3,5,3,4
2020-01-07T13:32:0,R_RIbFSPMGj8GLhC1,EN,6,7,67,03440505,4,4,4,4,4,5,5,3,4,4,5,4,2,2,1,1,2,1,2,3,2,3,3,3,3,3,3,4,5,5,5,5,4,3,4,4,4,3,5,4,4,3,4,4,4,3,5,3,4,4,4,4,1,4,4,3,4,4,4,4,4,4,4,3,3,3,3,5,2,5
2020-01-07T19:6:0,R_2RVQrc4jC5o6IGu,EN,6,7,67,03440505,3,3,4,3,3,3,2,2,4,4,3,3,3,3,3,3,3,3,3,3,2,3,1,1,3,3,3,3,3,2,2,2,4,3,4,3,2,2,4,5,3,3,2,4,5,3,5,4,3,2,3,2,5,,3,,3,3,2,3,4,4,3,2,3,2,,,,
2020-01-07T13:22:0,R_3jdJDERLdfjYog1,EN,6,7,67,03440505,5,5,4,4,4,4,4,3,4,4,5,3,2,2,2,2,3,3,3,5,4,4,4,4,4,3,4,4,4,5,4,4,3,3,5,3,3,3,3,4,4,4,4,4,4,4,5,4,4,3,3,3,3,3,3,2,3,4,3,3,4,4,4,4,4,4,3,4,3,5
2020-01-07T11:10:0,R_31mAZbEe17h2PFJ,EN,6,7,67,03440505,4,4,4,4,4,4,4,2,4,4,4,3,4,4,4,4,3,3,3,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,4,4,4,4,4,4,3,3,3,4,5,5,4,2,4,5,4,4,4,4,4,4,4,4,4,5,5,5
2020-01-07T19:40:0,R_3qm3Y1CG1Daungs,EN,6,7,67,03440505,5,5,5,4,4,4,5,4,4,4,5,5,5,5,5,4,5,5,4,5,5,4,4,4,4,5,5,5,5,4,4,4,5,5,5,5,5,5,3,5,5,5,5,5,4,4,4,4,5,4,3,5,2,4,4,4,4,5,4,5,4,5,4,3,3,4,4,5,4,5
2020-01-08T8:22:0,R_3gRVXWu5L46BmT0,EN,6,7,67,03440505,4,5,4,5,4,5,4,3,4,4,5,4,3,4,4,4,5,4,5,4,4,4,5,4,4,4,4,5,5,5,4,4,4,4,4,4,3,3,3,4,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,3,3,4,4,4,3,3,4,4
2020-01-07T12:24:0,R_cBltRXtV7sK6FX3,EN,6,7,67,03440505,5,5,5,2,2,2,1,2,4,4,4,4,1,1,1,2,2,2,2,4,3,3,3,4,3,5,5,4,4,4,4,4,5,3,5,3,3,3,3,4,4,3,3,2,4,4,3,4,2,1,1,2,2,4,4,5,2,3,3,3,3,4,4,3,4,5,2,5,3,5
2020-01-07T12:46:0,R_24wqloCM21wBL6x,EN,6,7,67,03440505,5,5,5,5,5,5,4,3,5,5,5,5,2,5,2,5,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,4,5,4,4,4,3,4,5,5,5,3,3,3,4,5,4,4,5,4,5,4,5,4,4,5,4,5,4,3,3,4,4
2020-01-07T14:2:0,R_2wgxf76HQ0hzz9K,EN,6,7,67,03440505,5,5,5,3,3,4,2,3,5,5,5,5,2,1,2,2,3,3,4,2,2,4,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,5,4,4,3,3,3,5,3,3,,3,3,4,3,4,4,4,,4,4,4,4,4,4
2020-01-07T13:32:0,R_1lbYSkThk4jtlyk,EN,6,7,67,03440505,3,3,5,3,3,5,2,1,5,5,3,3,1,1,1,1,4,2,3,2,2,2,1,3,3,3,3,3,3,4,3,3,4,3,5,3,3,3,3,3,4,1,2,2,5,4,5,3,3,3,3,3,5,4,4,4,3,3,3,3,4,5,5,3,3,3,3,4,4,5
2020-01-07T14:2:0,R_1IRUlIfnFwbphAv,EN,6,7,67,03440505,5,5,5,4,4,3,4,2,5,5,5,5,5,4,4,5,3,3,4,4,4,5,5,5,4,4,4,4,4,3,4,4,5,4,5,3,5,4,5,5,5,3,4,3,5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,5,5,4,4,4,5,4,5,5,5,5
2020-01-07T13:11:0,R_21bwOxxMZHFfxuk,EN,6,7,67,03440505,5,5,4,4,4,3,3,3,4,4,5,4,1,1,1,1,4,4,3,1,1,1,1,1,2,3,3,3,3,4,3,3,4,4,4,2,3,3,3,4,4,4,1,1,4,4,4,4,2,2,3,3,2,3,2,1,2,2,4,4,4,3,3,4,3,5,4,4,4,4
2020-01-07T12:51:0,R_10TX5Uc8FbT5bS0,EN,6,7,67,03440505,5,4,5,4,4,5,4,2,4,3,4,4,3,3,4,3,3,2,3,3,4,4,3,2,3,4,3,4,4,4,4,4,4,3,3,3,4,5,3,4,4,3,4,4,5,4,5,3,2,3,1,4,4,3,3,1,3,4,4,4,3,3,4,3,4,4,3,5,3,5
2020-01-07T12:50:0,R_2YkXupxYFsz8TqR,EN,6,7,67,03440505,5,5,5,4,3,5,3,3,5,5,5,5,4,4,2,3,4,4,4,4,5,4,4,5,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,5,5,3,3,3,2,3,4,5
2020-01-07T14:3:0,R_3COeLgnfnXUskDe,EN,6,7,67,03440505,3,3,4,4,4,3,3,2,5,5,5,4,2,1,1,2,4,3,4,3,2,3,2,2,3,4,4,4,4,4,4,3,4,2,3,1,1,1,4,4,2,3,3,3,4,2,4,3,4,4,3,2,4,4,4,2,2,3,3,3,5,4,4,2,3,3,3,5,3,5
2020-01-07T14:3:0,R_3PGIenGzjo93jZ1,EN,6,7,67,03440505,5,5,4,5,4,5,3,3,5,5,5,5,4,3,4,4,4,3,4,4,4,4,3,3,4,3,3,3,4,5,4,4,3,3,4,3,3,3,3,5,3,2,3,3,4,4,4,4,4,4,5,5,4,4,4,4,3,3,2,3,4,4,4,4,4,5,3,5,3,1
2020-01-07T14:5:0,R_2QQimVirmwKouKw,EN,6,7,67,03440505,4,4,4,4,3,3,2,2,4,4,4,3,2,3,2,3,3,3,3,2,2,2,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,2,4,4,2,4,4,4,3,4,3,3,3,3,3,3,2,3,1,2,3,3,2,3,3,2,2,3,4,3,4,2,4
2020-01-07T14:32:0,R_2QYd0boinV5zpiz,EN,6,7,67,03440505,5,5,4,4,4,5,3,1,5,4,5,4,3,3,2,3,2,3,4,3,3,3,3,3,2,3,3,4,3,4,3,3,4,3,4,4,4,3,3,3,4,2,3,3,4,4,5,4,4,4,4,4,4,5,4,4,3,5,4,4,4,4,4,3,3,4,4,5,3,5
2020-01-07T12:28:0,R_3G21x4iFan9B17y,EN,6,7,67,03440505,5,5,5,5,5,5,4,3,5,4,4,4,3,3,1,2,4,1,4,2,2,5,3,2,2,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,5,4,5,4,3,5,5,4,3,2,3,3,5,4,4,2,3,3,4,3,4,4,4,3,4,4,4,5,4,5
2020-01-07T14:3:0,R_3sprg5DtZwVV0In,EN,6,7,67,03440505,5,5,5,4,4,4,4,3,5,5,5,5,1,2,2,2,1,1,1,3,3,3,3,3,3,2,2,3,3,3,3,3,4,4,4,3,3,3,3,4,2,2,2,3,4,5,5,4,5,5,5,5,5,3,3,3,2,2,2,2,4,4,4,3,3,3,4,5,4,5
2020-01-07T14:3:0,R_1JIumefixomQFzW,EN,6,7,67,03440505,5,5,5,5,5,3,4,4,5,4,5,5,3,3,1,2,3,3,5,3,5,3,3,4,4,3,3,4,4,4,4,4,5,3,5,3,4,4,5,4,1,4,4,4,4,4,5,5,4,3,2,3,5,4,4,2,3,4,3,4,4,4,4,4,4,4,3,4,3,4
2020-01-07T14:4:0,R_DIe77O0FpJCyCT7,EN,6,7,67,03440505,5,5,5,4,4,4,4,2,5,4,5,5,3,3,3,3,4,4,3,5,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,2,2,3,4,4,3,3,4,4,3,4,3,4,3,4,3,4,2,3,4,2,4,4,3,4,3,3,3,3,3,3,3,5,4,5
2020-01-07T14:4:0,R_bpIDGEbTe8oAw25,EN,6,7,67,03440505,4,4,4,3,3,5,3,2,5,4,5,3,4,4,4,4,3,3,3,4,5,4,4,4,2,2,3,3,2,2,2,2,4,3,4,4,4,4,3,5,4,3,5,4,3,1,4,3,4,4,4,4,5,3,4,5,2,3,3,3,3,2,2,3,3,3,4,5,4,5
2020-01-07T14:5:0,R_3m91Y8A9icpVEeZ,EN,6,7,67,03440505,5,5,5,4,3,4,4,3,4,4,4,4,5,5,5,5,4,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,,,,4,4,3,3,3,3,3,3,3,4,4,5,5,3,3,3,4,3,3,2,2,,,,,4,4,4,4,4,5,,,3,4
2020-01-07T14:3:0,R_3fOjfXPtuz4Aswl,EN,6,7,67,03440505,5,4,5,4,4,5,4,2,4,4,4,4,3,3,3,3,4,4,4,4,3,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,2,4,5,4,5,5,5,4,4,4,4,4,4,3,5,3,3,3,2,4,3,3,3,3,4,4,4,3,4,4,5,4,5
2020-01-07T14:3:0,R_2ZIBYPgSroEULNJ,EN,6,7,67,03440505,4,4,4,3,3,5,3,4,3,3,4,3,3,3,3,3,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,4,4,3,3,3,3,4,4,4,4,4,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3
2020-01-07T14:3:0,R_3Jf5KuRi6T3Fg7o,EN,6,7,67,03440505,5,5,5,3,4,5,3,2,4,4,4,4,3,3,3,3,2,3,3,4,3,3,3,2,3,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,3,4,5,4,4,2,2,3,3,3,4,4,4,4,3,4,2,5,3,5
2020-01-07T14:4:0,R_2rTp06PIosdUBFJ,EN,6,7,67,03440505,4,4,5,5,5,5,4,4,5,4,4,4,2,1,2,2,3,3,4,5,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,3,3,2,4,4,4,3,4,4,5,3,5,3,4,4,4,5,4,5,5,2,2,5,4,4,3,4,4,4,4,4,3,5,5,5
2020-01-07T12:32:0,R_12PFZUQyGQ2Himd,EN,6,7,67,03440505,5,5,5,4,4,5,2,2,5,5,5,5,3,3,3,3,3,3,5,1,1,1,1,2,2,4,3,4,4,4,4,3,3,3,5,3,5,3,3,5,5,1,5,5,4,4,5,4,2,2,2,5,5,5,5,5,3,4,5,4,4,5,5,3,4,4,5,5,4,4
2020-01-07T13:7:0,R_31Bkx0Ol92qehQm,EN,6,7,67,03440505,5,5,5,4,4,2,3,1,5,5,5,4,3,4,2,3,4,3,4,4,4,3,3,4,3,4,4,5,5,4,5,5,4,4,5,3,4,4,4,5,4,3,1,4,4,4,4,4,3,4,4,4,4,5,5,3,4,3,2,3,4,4,4,3,4,5,2,4,1,3
2020-01-07T13:27:0,R_1kOhQWn5axNYoOm,EN,6,7,67,03440505,5,5,5,4,4,2,1,1,5,5,5,4,1,1,1,1,2,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,4,4,5,4,3,1,1,1,5,4,3,3,3,4,3,3,4,5,5,4,4,3,3,5,3,5
2020-01-07T13:11:0,R_5sYnxlpYw3KVv4R,EN,6,7,67,03440505,5,5,5,4,4,5,4,2,5,4,4,5,3,3,2,3,4,3,3,4,2,3,3,3,4,4,5,5,5,5,5,4,5,4,4,3,4,4,4,4,4,3,4,4,4,4,5,5,4,3,1,3,2,4,4,3,4,4,,4,4,5,4,4,4,4,4,5,4,
2020-01-07T18:59:0,R_3KpznilGZQzMDL3,EN,6,7,67,03440505,5,5,5,3,2,3,3,2,5,4,5,4,3,2,3,3,1,1,2,3,4,4,3,2,3,4,4,4,4,4,5,4,4,3,4,5,5,4,3,4,3,2,4,3,3,4,4,4,5,4,3,4,2,5,2,1,3,3,2,4,4,4,4,4,3,4,4,5,4,5
2020-01-07T13:52:0,R_1GK6L5nWtJ8Jqyl,EN,6,7,67,03440505,5,5,5,4,4,5,4,2,4,3,5,3,1,2,2,1,2,3,4,2,1,2,2,3,3,3,3,4,3,3,3,2,5,4,5,3,3,3,2,4,4,3,3,4,4,5,5,4,4,3,3,4,5,3,4,1,3,4,3,3,3,4,3,4,4,4,4,5,5,5
2020-01-07T14:5:0,R_2YkTcw12hkArTzR,EN,6,7,67,03440505,5,5,5,2,4,4,4,2,5,4,5,4,3,3,3,3,2,1,2,4,5,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4,4,3,4,4,5,5,4,2,5,5,4,3,2,2,2,4,3,3,4,3,3,4,4,3,3,3,3,3,4,4,4,5,5
2020-01-07T14:4:0,R_1CKpgzzdi2P630o,EN,6,7,67,03440505,5,5,5,5,5,4,4,3,4,3,4,4,4,4,2,3,2,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,4,3,4,3,4,3,4,4,5,4,4,4,4,3,5,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,4,3,5,3,5
2020-01-07T14:4:0,R_2qaQJfl8z7k00rG,EN,6,7,67,03440505,5,5,5,4,4,3,4,2,5,5,5,5,2,1,1,2,4,3,4,3,3,3,4,4,3,3,3,4,4,4,4,4,4,2,5,4,4,3,3,5,4,3,4,4,4,4,5,4,5,5,4,5,5,4,4,3,4,4,2,4,3,4,3,4,3,4,3,3,2,4
2020-01-07T14:4:0,R_2RV5wGOcKse9lM6,EN,6,7,67,03440505,5,4,5,4,4,5,4,3,4,4,4,4,3,3,3,3,3,2,4,3,3,3,4,4,4,3,3,4,4,4,3,4,4,4,4,3,3,3,3,4,4,3,3,3,4,4,5,4,4,3,3,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,5
2020-01-07T17:25:0,R_vdYj6tXBoUHZg7D,EN,6,7,67,03440505,4,4,4,3,4,3,3,3,4,4,4,4,3,3,2,2,4,3,3,,,,4,4,4,4,NA,5,,,,,5,4,5,3,3,3,3,5,5,5,4,4,3,4,4,4,4,3,4,3,5,3,3,2,4,4,3,4,3,4,4,,,,,,2,4
2020-01-07T14:5:0,R_DjyiYy6dUSN7I0p,EN,6,7,67,03440505,5,5,5,4,4,4,3,1,4,4,5,5,3,4,2,2,3,3,1,4,3,3,3,4,3,2,2,2,3,4,3,2,4,3,4,3,3,3,4,5,3,3,2,2,3,3,4,5,4,5,5,5,4,4,5,5,3,3,3,4,3,4,4,3,4,4,4,4,4,4
2020-01-07T14:4:0,R_3oZWVrZyeczCiJh,EN,6,7,67,03440505,,,,4,4,3,3,4,4,3,5,4,3,3,2,3,3,2,3,3,4,3,,,2,4,3,3,3,4,3,3,3,,4,4,,,3,4,3,4,4,3,4,3,2,4,4,3,4,3,4,,,,,3,,3,3,4,4,4,3,4,4,3,,
2020-01-07T13:3:0,R_Tk0dAiBJbao0ieR,EN,6,7,67,03440505,4,4,4,3,3,3,4,3,4,5,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,3,4,4,3,4,4,3,3,4,4,4,4,3,3,4,4,4,3,4,3,4
2020-01-07T12:38:0,R_2YmNFVaKmdwCyfP,EN,6,7,67,03440505,4,5,4,2,3,4,3,5,4,4,4,4,4,3,2,3,2,3,4,3,3,3,3,3,3,3,2,4,4,4,4,3,4,4,4,3,2,3,2,4,4,3,4,4,4,4,4,4,4,4,4,3,5,3,4,3,,4,3,4,4,4,4,4,4,4,4,5,3,3
2020-01-07T14:4:0,R_UJVLocMI9WQRGJX,EN,6,7,67,03440505,3,3,3,4,4,5,2,2,4,4,3,3,3,3,2,2,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,4,3,4,2,3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,2,3,3,3,3,3,3,3,4,5,4,5
2020-01-07T12:30:0,R_9YVQJPSmf84xDwd,EN,6,7,67,03440505,4,4,4,5,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,5,5,4,4,5,4,4,4,4,4,4,5,5,4,5,5,5,5,4,4,4,4,4,4,4,5,5,5
2020-01-07T14:6:0,R_1QrVVrBHwHAH5PQ,EN,6,7,67,03440505,3,3,4,5,4,5,3,4,3,4,5,4,3,4,2,2,4,4,4,4,3,3,3,3,4,3,3,4,4,4,3,3,4,4,4,4,3,4,5,5,4,3,2,3,3,4,4,4,4,4,4,4,1,5,5,5,4,3,2,3,4,4,3,3,3,3,4,4,5,5
