StartDate,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,language,district,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-sach-q1,t-sach-q2,t-sach-q3,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3,X.1,Q131,Q132,,Q83_1,Q84_1,,DESE ID
3/12/18 11:44,100,779,TRUE,2018-03-12T11:57:0,R_xfwceH7IFZsSJcl,EN,Boston,4,5,4,2,3,5,2,2,2,2,1,3,4,2,2,2,1,1,2,2,1,2,2,1,2,2,2,1,1,3,1,2,2,4,2,3,1,1,3,3,2,1,3,2,3,3,4,4,2,2,2,1,2,2,2,2,3,2,1,2,3,3,3,5,2,4,NA,3,3,,4,6,,350266
3/12/18 11:44,100,814,TRUE,2018-03-12T11:58:0,R_1Opr1oeEbB8vFG5,EN,Boston,5,5,5,4,4,4,4,3,3,4,3,3,3,2,3,5,5,5,4,4,4,4,4,4,3,3,4,3,2,3,2,3,5,4,3,3,4,3,3,3,3,3,3,3,4,4,4,4,2,1,1,1,5,5,1,2,3,3,3,4,3,3,3,3,2,2,NA,3,4,,8,8,,350549
3/12/18 11:43,100,875,TRUE,2018-03-12T11:58:0,R_10x6tF6q48x3vzr,EN,Boston,4,4,4,4,4,3,3,3,2,2,1,2,3,3,3,3,2,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,4,3,3,4,3,3,4,5,2,2,1,3,3,2,3,4,2,2,3,3,3,1,3,3,4,NA,4,3,,7,6,,350013
3/12/18 11:48,100,572,TRUE,2018-03-12T11:58:0,R_31a41KfJ3Sx1Otv,EN,Boston,4,4,4,4,4,5,5,3,2,2,3,3,4,3,4,4,4,4,5,4,4,4,4,4,3,3,3,2,3,3,2,1,2,3,2,2,3,2,2,2,4,2,3,3,4,4,4,4,3,1,2,1,5,3,1,3,2,1,2,3,3,4,2,4,1,5,NA,3,3,,9,6,,350505
3/12/18 11:51,100,492,TRUE,2018-03-12T11:59:0,R_1hF1nZEj7uulo8a,EN,Boston,5,5,4,5,5,5,4,3,4,5,4,4,5,3,5,4,5,4,5,5,5,3,3,4,4,4,4,4,4,4,4,5,3,3,3,3,4,3,3,3,4,3,4,3,4,4,4,4,5,5,5,4,4,4,3,4,4,4,3,3,4,4,3,4,3,4,NA,3,4,,9,5,,350190
3/12/18 11:45,100,899,TRUE,2018-03-12T12:0:0,R_vVMYnFUOBjuGset,EN,Boston,5,5,5,2,2,4,3,1,1,1,1,1,5,5,5,1,1,1,1,2,3,5,5,3,4,4,4,4,2,4,2,2,5,5,3,2,1,4,4,4,3,3,,3,5,5,5,5,5,4,4,3,3,1,3,1,,2,2,3,4,5,4,5,3,3,NA,4,2,,8,,,350183
3/12/18 11:45,100,870,TRUE,2018-03-12T12:0:0,R_2wsoGrMirKYp0c0,EN,Boston,5,5,2,4,4,4,1,2,5,5,5,1,2,2,4,1,1,1,2,2,1,3,3,4,4,5,5,4,3,3,3,5,5,5,1,2,4,2,3,3,5,5,5,5,5,5,5,5,5,4,3,1,1,1,3,1,5,4,4,4,5,4,4,4,3,3,NA,4,1,,9,7,,350266
3/12/18 11:51,100,518,TRUE,2018-03-12T12:0:0,R_tYelUAM29fCsUzD,EN,Boston,3,4,2,2,2,3,1,3,3,2,2,1,3,2,2,4,3,2,2,3,3,3,3,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,4,2,2,2,1,2,2,1,2,1,1,1,1,2,4,4,4,2,3,NA,2,3,,7,5,,350530
3/12/18 11:49,100,769,TRUE,2018-03-12T12:1:0,R_3lzAB7EOnfByAba,EN,Boston,4,3,4,4,4,4,3,2,2,3,4,2,3,3,3,4,3,4,3,3,2,3,3,3,3,3,4,3,4,3,4,2,2,2,3,1,3,2,2,1,3,3,4,4,3,3,3,5,5,2,3,1,2,3,3,3,2,3,3,3,3,4,4,4,3,3,NA,4,3,,6,6,,350565
3/12/18 11:53,100,572,TRUE,2018-03-12T12:2:0,R_1QFmY9ShDyR4GYl,EN,Boston,5,5,5,3,5,4,3,2,3,3,4,3,4,4,5,4,5,5,5,5,5,3,2,3,3,3,3,3,4,4,3,3,4,1,1,2,2,1,2,1,4,4,4,4,4,4,4,5,4,1,2,1,5,4,3,3,3,3,3,4,4,5,2,3,3,4,NA,4,3,,8,5,,350229
