Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Admin Grade 9,Grade 10,Grade 11,Grade 12,SP,Total,% of All Students,# of All Students
0.3445692883895131,1,a-cppm-i2,2023-24,Longmeadow High,01590505,       7,       6,       4,       4,       0,      21,   2.3,     911
7.655430711610487,5,a-cppm-i2,2023-24,Lowell High,01600505,     145,     340,     585,     667,       0,"   1,737",  51.1,"   3,402"
1.9775280898876404,1.98,a-cppm-i2,2023-24,Ludlow Senior High,01610505,      34,      32,      21,      12,       0,      99,  13.2,     750
2.471910112359551,2.47,a-cppm-i2,2023-24,Lynn English High,01630510,      43,      98,     103,      97,       0,     341,  16.5,"   2,072"
10.307116104868914,5,a-cppm-i2,2023-24,Lynn Vocational Technical Institute,01630605,       0,     270,     278,     262,       0,     810,  68.8,"   1,178"
13.812734082397004,5,a-cppm-i2,2023-24,Madison Park Technical Vocational High School,00350537,     271,     260,     257,     184,       4,     976,  92.2,"   1,058"
0.2247191011235955,1,a-cppm-i2,2023-24,Malden High,01650505,       0,       1,       7,      21,       0,      29,   1.5,"   1,894"
0.2247191011235955,1,a-cppm-i2,2023-24,Marblehead High,01680505,       0,       0,       5,       8,       0,      13,   1.5,     874
1.9775280898876404,1.98,a-cppm-i2,2023-24,Marlborough High,01700505,       0,       0,      57,      77,       0,     134,  13.2,"   1,013"
4.194756554307117,4.19,a-cppm-i2,2023-24,Marshfield High,01710505,       0,     120,     112,      90,       0,     322,  28.0,"   1,149"
5.902621722846442,5,a-cppm-i2,2023-24,Martha's Vineyard Regional High,07000505,     114,      82,      45,      27,       0,     268,  39.4,     681
7.580524344569289,5,a-cppm-i2,2023-24,Mashpee Middle-High School,01720505,      41,      54,      67,      42,       0,     204,  50.6,     403
2.831460674157303,2.83,a-cppm-i2,2023-24,Maynard High,01740505,      14,      18,      17,       7,       0,      56,  18.9,     297
8.659176029962547,5,a-cppm-i2,2023-24,Medford High,01760505,     298,     165,     115,     107,       1,     686,  57.8,"   1,186"
2.8913857677902626,2.89,a-cppm-i2,2023-24,Medway High,01770505,      16,      39,      33,      29,       0,     117,  19.3,     607
5.258426966292135,5,a-cppm-i2,2023-24,Methuen High,01810505,     130,     153,     188,     195,       0,     666,  35.1,"   1,898"
0.0898876404494382,1,a-cppm-i2,2023-24,Middleborough High,01820505, , , , , ,       5,   0.6,     827
9.183520599250937,5,a-cppm-i2,2023-24,Milford High,01850505,      42,     276,     256,     221,       0,     795,  61.3,"   1,297"
0.9737827715355806,1,a-cppm-i2,2023-24,Millbury Junior/Senior High,01860505,      21,       7,       4,       0,       0,      32,   6.5,     495
0.8689138576779026,1,a-cppm-i2,2023-24,Minnechaug Regional High,06800505,      17,      15,      14,      11,       0,      57,   5.8,     981
14.981273408239701,5,a-cppm-i2,2023-24,Minuteman Regional High,08300605,     172,     169,     180,     162,       0,     683, 100.0,     683
14.816479400749065,5,a-cppm-i2,2023-24,Montachusett Regional Vocational Technical,08320605,     357,     359,     354,     343,       0,"   1,413",  98.9,"   1,428"
6.5767790262172285,5,a-cppm-i2,2023-24,Monument Mt Regional High,06180505,      15,      60,      61,      62,       0,     198,  43.9,     451
