Raw likert calculation,Likert Score,Admin Data Item,Academic Year,Teachers of color (%),School Name,DESE ID,African American (%),Asian (%),Hispanic (%),White (%),Native American (%),Native Hawaiian Pacific Islander (%),Multi-Race Non-Hispanic (%),Females (%),Males (%),FTE Count
1.8,1.8,"",2021-22,1.8,Ayer Shirley School District - Lura A. White Elementary School,06160001,   0.0,   1.8,   0.0,  98.2,   0.0,   0.0,   0.0,  96.4,   3.6,         56.0
3.2,3.2,"",2021-22,3.2,Ayer Shirley School District - Page Hilltop Elementary School,06160002,   0.0,   1.9,   0.0,  96.8,   0.0,   0.0,   1.3,  93.4,   6.6,         76.0
1.1,1.1,"",2021-22,1.1,Barnstable - Barnstable Community Innovation School,00200012,   0.0,   1.1,   0.0,  98.9,   0.0,   0.0,   0.0,  93.4,   6.6,         45.2
8.1,5,"",2021-22,8.1,Barnstable - Barnstable High,00200505,   3.1,   1.9,   2.7,  91.9,   0.4,   0.0,   0.0,  66.9,  33.1,        258.1
3.6999999999999997,3.7,"",2021-22,3.6999999999999997,Barnstable - Barnstable Intermediate School,00200315,   2.8,   0.0,   0.9,  96.3,   0.0,   0.0,   0.0,  79.5,  20.5,        107.2
3.6,3.6,"",2021-22,3.6,Barnstable - Barnstable United Elementary School,00200050,   0.9,   0.0,   0.9,  96.6,   0.9,   0.0,   0.9,  91.4,   8.6,        116.9
2.7,2.7,"",2021-22,2.7,Barnstable - Centerville Elementary,00200010,   0.0,   0.0,   2.1,  97.3,   0.6,   0.0,   0.0,  91.2,   8.8,         48.1
2.8,2.8,"",2021-22,2.8,Barnstable - Enoch Cobb Early Learning Center,00200001,   0.0,   0.0,   2.8,  97.2,   0.0,   0.0,   0.0, 100.0,   0.0,         36.3
8.8,5,"",2021-22,8.8,Barnstable - Hyannis West Elementary,00200025,   1.8,   3.5,   3.5,  91.2,   0.0,   0.0,   0.0,  96.0,   4.0,         56.7
0.7,1,"",2021-22,0.7,Barnstable - West Barnstable Elementary,00200005,   0.0,   0.0,   0.0,  99.3,   0.7,   0.0,   0.0,  91.8,   8.2,         43.2
7.6,5,"",2021-22,7.6,Barnstable - West Villages Elementary School,00200045,   4.6,   0.0,   1.5,  92.3,   0.0,   0.0,   1.5,  93.0,   7.0,         64.8
43.800000000000004,5,"",2021-22,43.800000000000004,Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,  17.2,   1.6,  23.4,  56.2,   0.0,   0.0,   1.6,  60.9,  39.1,         64.0
7.800000000000001,5,"",2021-22,7.800000000000001,Bedford - Bedford High,00230505,   3.1,   1.6,   3.1,  92.1,   0.0,   0.0,   0.0,  65.9,  34.1,        121.2
5.800000000000001,5,"",2021-22,5.800000000000001,Bedford - John Glenn Middle,00230305,   1.1,   1.1,   2.5,  94.1,   1.1,   0.0,   0.0,  75.7,  24.3,         87.7
12.0,5,"",2021-22,12.0,Bedford - Lt Elezer Davis,00230010,   2.9,   6.2,   1.0,  88.1,   0.0,   0.0,   1.9,  94.3,   5.7,        104.7
7.800000000000001,5,"",2021-22,7.800000000000001,Bedford - Lt Job Lane School,00230012,   1.0,   3.7,   2.1,  92.2,   0.0,   0.0,   1.0,  88.7,  11.3,         95.6
1.6,1.6,"",2021-22,1.6,Belchertown - Belchertown High,00240505,   0.3,   0.0,   1.3,  98.5,   0.0,   0.0,   0.0,  73.3,  26.7,         79.0
0.0,1,"",2021-22,0.0,Belchertown - Chestnut Hill Community School,00240006,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  83.7,  16.3,         57.5
2.7,2.7,"",2021-22,2.7,Belchertown - Cold Spring,00240005,   0.0,   0.0,   2.7,  97.3,   0.0,   0.0,   0.0,  93.5,   6.5,         36.9
1.9,1.9,"",2021-22,1.9,Belchertown - Jabish Middle School,00240025,   0.0,   0.0,   1.9,  98.1,   0.0,   0.0,   0.0,  81.0,  19.0,         52.0
0.0,1,"",2021-22,0.0,Belchertown - Swift River Elementary,00240018,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  94.5,   5.5,         61.3
0.0,1,"",2021-22,0.0,Bellingham - Bellingham Early Childhood Center,00250003,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  94.7,   5.3,         19.0
3.6,3.6,"",2021-22,3.6,Bellingham - Bellingham High School,00250505,   1.8,   1.8,   0.0,  96.3,   0.0,   0.0,   0.0,  71.0,  29.0,        109.3
0.0,1,"",2021-22,0.0,Bellingham - Bellingham Memorial School,00250315,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  81.7,  18.3,         87.2
0.0,1,"",2021-22,0.0,Bellingham - Joseph F DiPietro Elementary School,00250020,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0, 100.0,   0.0,         51.9
0.0,1,"",2021-22,0.0,Bellingham - Keough Memorial Academy,00250510,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  52.8,  47.2,         17.1
2.1,2.1,"",2021-22,2.1,Bellingham - Stall Brook,00250025,   2.1,   0.0,   0.0,  97.9,   0.0,   0.0,   0.0,  96.3,   3.7,         48.4
10.8,5,"",2021-22,10.8,Belmont - Belmont High,00260505,   4.0,   3.5,   2.5,  89.2,   0.0,   0.0,   0.8,  68.8,  31.2,        120.7
12.5,5,"",2021-22,12.5,Belmont - Daniel Butler,00260015,   2.1,   2.3,   2.1,  87.5,   0.0,   0.0,   6.0,  84.2,  15.8,         43.2
8.2,5,"",2021-22,8.2,Belmont - Mary Lee Burbank,00260010,   2.1,   1.9,   2.1,  91.8,   0.0,   0.0,   2.1,  89.4,  10.6,         47.4
3.2,3.2,"",2021-22,3.2,Belmont - Roger E Wellington,00260035,   0.0,   1.1,   1.0,  96.9,   0.0,   0.0,   1.1,  90.1,   9.9,         82.6
1.5,1.5,"",2021-22,1.5,Belmont - Winn Brook,00260005,   0.0,   0.0,   1.5,  98.5,   0.0,   0.0,   0.0,  94.6,   5.4,         53.6
16.1,5,"",2021-22,16.1,Belmont - Winthrop L Chenery Middle,00260305,   3.7,   5.9,   2.8,  84.0,   0.0,   0.0,   3.7,  71.4,  28.6,        136.6
59.1,5,"",2021-22,59.1,Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,  43.1,   8.0,   8.0,  40.9,   0.0,   0.0,   0.0,  84.4,  15.6,         50.1
3.6,3.6,"",2021-22,3.6,Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,   0.9,   1.8,   0.9,  96.4,   0.0,   0.0,   0.0,  88.2,  11.8,        110.2
1.4,1.4,"",2021-22,1.4,Berkley - Berkley Community School,00270010,   0.0,   0.0,   1.4,  98.6,   0.0,   0.0,   0.0,  97.1,   2.9,         69.4
0.0,1,"",2021-22,0.0,Berkley - Berkley Middle School,00270305,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  79.2,  20.8,         48.0
11.4,5,"",2021-22,11.4,Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,   3.4,   1.7,   2.9,  88.6,   0.0,   0.0,   3.4,  71.6,  28.4,         59.3
6.5,5,"",2021-22,6.5,Berkshire Hills - Monument Mt Regional High,06180505,   1.3,   1.3,   2.6,  93.4,   0.0,   0.0,   1.3,  64.0,  36.0,         75.5
3.0,3.0,"",2021-22,3.0,Berkshire Hills - Muddy Brook Regional Elementary School,06180035,   1.5,   1.5,   0.0,  97.0,   0.0,   0.0,   0.0,  88.1,  11.9,         67.2
